Temp,Ph,N,P,K
12.3337199,7.363948485,56.12964263,27.43736076,137.8455458
14.2738731,7.118579669,55.36545915,23.39213233,141.1214026
12.59401227,7.240592669,44.23169652,27.76573992,139.2010254
12.14813684,7.107104709,47.54722739,25.71947386,137.0842616
13.63399152,7.139423811,48.9394818,20.27039399,142.0401624
14.15604114,6.658024842,57.49565111,21.47190771,138.9382611
12.87810907,7.221762749,43.38694418,28.02484207,142.7039399
13.66621906,6.77292703,51.76915799,28.73012482,141.2491226
13.48255867,7.089220862,56.25537889,28.01904355,143.9120151
14.86092715,6.640568255,40.49195837,23.45316935,140.0556963
14.63505966,6.756691183,44.91775262,29.7030549,149.6525468
12.91180151,6.784829249,59.55931272,20.92715232,148.0123295
13.80419324,7.009994812,43.90026551,29.43815424,135.2838221
14.8989227,6.588991974,40.01831111,26.04266488,147.5078585
13.97961364,7.039201025,52.43079928,28.75881222,147.9313028
12.10245064,6.774788659,58.31354717,21.19876705,135.2462844
13.75988037,6.865642262,45.05020295,22.57667776,140.4443495
12.84496597,6.531800287,40.46449171,25.95690786,147.2093875
13.51203955,6.722479934,51.00985748,27.44895779,145.9642323
12.9606006,7.066820276,48.02087466,20.55177465,141.6734825
14.1139256,7.333063753,44.00402844,26.07837153,143.7527085
14.1131016,6.991622669,46.1281167,27.27256081,147.0047609
14.37165441,7.078997162,46.16718039,28.52961821,139.9458296
12.42728965,6.822611164,46.92220832,20.76265755,142.0378735
12.46601764,7.490142521,51.71605579,29.48301645,143.4936064
14.13351848,6.54586932,57.129429,21.76366466,136.9904172
13.0773339,7.443357646,48.60988189,20.49104282,137.2371593
14.0155034,7.337580493,59.70458083,29.91912595,143.7961974
14.56831568,7.052659688,53.7040315,22.84890286,141.1809137
14.27936644,6.740974151,48.16919462,21.29184851,138.4694967
14.12436293,6.594851527,50.4525895,26.64235359,138.89111
12.89522996,6.518524735,51.36082034,26.41987365,136.412244
13.44300668,7.066423536,40.97476119,21.00192267,138.0487991
14.38465529,6.641178625,58.27204199,26.30664998,141.3631092
13.80538347,7.235587634,48.501236,25.85283975,141.7796869
13.30512406,7.0741142,59.84008301,27.99707022,146.8568987
12.52443007,7.460539567,44.57350383,22.72560808,142.9300821
14.19742424,6.793771172,49.62187567,29.52482681,142.4411756
14.22507401,7.220480972,40.23438215,27.77001251,138.2873012
12.38370922,7.449705496,50.60945463,27.31528672,137.3978393
14.53874325,7.368312632,44.39771722,20.20538957,143.255562
12.61287271,6.891003143,43.63353374,28.84670553,144.2013306
13.97677541,6.695776238,48.09961241,20.31952879,144.042024
12.01492355,7.037217322,46.25751518,20.71932127,149.2826624
13.34385205,6.622013001,52.88796655,29.0417188,148.3881649
13.0291757,6.911053804,52.36854152,28.57234413,146.7502365
13.44978179,6.801644948,57.75933103,22.30475784,141.653798
13.78002258,6.692083499,54.258858,21.68736839,143.4002197
12.4471572,7.32781457,44.23108615,24.13617359,137.0027772
14.66975921,7.018539995,53.42875454,22.98257393,142.5217444
14.23679312,7.095629749,45.90655232,28.91537217,135.9242531
13.61174352,7.087817011,46.02923673,25.55375835,136.5225684
14.41944639,6.926770837,49.69756157,21.77709281,137.7480392
13.21677297,7.005905332,46.45588549,21.34495071,146.1867122
14.60896634,7.353175451,43.27341533,22.95876949,148.5058138
14.24256111,6.93958861,50.39704581,27.06320383,144.2136906
13.92358165,6.64865566,49.72685934,23.22183905,139.8886074
14.59862056,6.557283242,59.35544908,28.40876492,149.5870846
13.52888577,6.901135289,48.46461379,29.62889492,137.4623859
12.04229865,6.628604999,54.60798975,27.32200079,139.000061
13.5782342,6.764564959,43.41013825,20.09857479,138.1618702
13.27536851,7.115955077,42.36518448,29.44761498,139.0444655
13.16861476,7.140949736,58.22870571,27.61711478,149.7253334
12.33774834,7.257713553,56.00085452,21.70262764,149.9070711
14.37348552,6.54443495,45.96819971,26.93868831,143.5608997
13.86590167,6.636051515,58.11578722,23.9210181,139.8872341
14.40324107,7.417355876,49.80742821,24.39039277,136.883755
14.80846583,6.670201727,57.46696371,25.27176733,141.9339579
14.8583636,7.326136052,54.86861782,21.1465804,149.2648091
14.46128727,7.001113926,45.77410199,26.80806909,140.5372784
13.24662008,6.889080477,40.97903378,28.43714713,147.3073519
14.05221717,7.462584307,49.82696005,27.29575488,146.5863521
12.81832331,6.601901303,55.19943846,25.7267983,138.4315012
12.4661092,7.389095737,47.43064669,21.67729728,145.9971923
13.70055239,6.557832575,43.41624195,26.29932554,145.0427259
13.91534165,6.522675253,54.24481948,21.39530625,147.0386364
13.66191595,6.528809473,44.92568743,25.0758385,138.0794702
14.31479843,7.366359447,54.82406079,24.56373791,138.0927458
13.98364208,7.111713004,54.99496445,27.20297861,138.4791101
13.67867061,7.124805445,47.80419324,22.9053621,144.0319529
12.23483993,6.769234291,50.65340129,29.15341655,135.7663198
13.90243233,6.991317484,44.55336161,22.7027192,147.3023164
14.61061434,6.739204077,46.6707358,23.09854427,139.2275765
12.69637135,7.112048708,45.38041322,20.00152593,146.0997345
12.28153325,7.067491684,54.52620014,26.34418775,148.2938627
14.07840205,6.709143345,59.8852504,27.19351787,138.5207678
14.28925443,6.570253609,49.55351421,26.9246498,139.2001099
12.57835627,7.198507645,40.91982788,20.16479995,135.2092044
14.27039399,7.469389935,42.88033692,20.3256325,139.1488388
14.04223762,7.318506424,47.28720969,23.64940336,140.6086917
