Temp,Ph,N,P,K
25.98437452,6.512637715,98.03125095,27.03258876,61.40157863
25.6859035,5.86839198,120.1767022,22.78833064,46.9537427
24.13434248,6.444062624,136.5669729,28.61061632,42.56957179
20.69643239,6.715402692,127.2960601,26.41423106,80.79050328
26.58955657,6.62494583,100.2945036,30.85428581,41.20663555
23.26120792,6.070851772,121.0611286,29.38947398,37.75481268
21.92724387,6.673775445,103.5062716,31.09403677,76.47750398
29.68413343,6.149955748,99.83855708,28.16308118,44.5001016
20.75167089,6.045765557,136.1311686,31.70307083,50.44826853
22.73354289,6.347624134,112.4970244,27.50076913,77.17498572
21.63701285,6.087026582,134.3641469,32.5055706,43.86667431
24.16394543,6.595556505,105.8043153,32.62145024,73.63419834
22.51960814,6.404785302,140.560625,26.28203504,70.87274004
23.70067446,5.927384259,98.43226417,26.91337925,45.54276562
24.23871578,6.144706565,100.2414014,31.05407828,39.9166502
26.89901425,6.728708762,132.992645,22.42937016,61.91757277
21.54026917,5.995013276,116.8221076,31.21524421,29.25870226
28.41822565,6.462892544,139.2660298,24.11029084,26.82463335
24.37879574,6.793530076,119.6401868,23.69905133,74.10571023
24.71755119,6.494814905,96.88680685,31.11601395,42.20303803
20.02838221,6.123526719,135.5543687,30.9075638,80.45065886
27.13980529,6.103598132,121.7734306,23.66475362,49.81306195
25.59465316,5.872573016,146.1180456,30.60987301,66.81062065
29.10153508,6.013721122,125.1152074,21.98083605,29.06831822
22.25562304,6.01887875,118.9535203,25.8421586,66.52771352
25.9050264,5.898818934,114.1706595,31.10269445,27.12355409
28.21283609,6.529453413,140.6357006,30.65582528,68.73581259
28.74477371,6.456727805,107.9448836,22.9831283,67.42091717
28.12005982,5.826245918,146.7442854,22.08006632,48.77039793
22.07495346,5.936875515,115.668508,25.751919,32.29595053
23.98205512,6.427216407,140.410474,22.39207556,49.12625596
21.89977721,6.549687185,99.22696615,26.97464895,58.93192392
27.36136967,6.721903134,130.8832057,26.40857027,48.55510382
27.93786431,6.127127903,139.8721274,25.76557149,34.94887213
26.51203955,6.024066897,106.1650441,26.7635349,27.06483752
