date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,30,25,0.0,11.6,7,7,31,09:33 AM,09:51 PM,06:02 AM,06:02 PM,20,29,29,27,39,10,67,0.0,1011,30,10,68,28
2009-01-02,30,25,0.0,11.6,7,7,38,10:14 AM,10:34 PM,06:02 AM,06:03 PM,19,28,28,27,37,3,65,0.0,1011,30,10,70,26
2009-01-03,31,24,0.0,11.6,7,7,45,10:56 AM,11:18 PM,06:03 AM,06:03 PM,20,29,29,27,37,6,66,0.0,1011,31,10,71,26
2009-01-04,30,25,0.0,11.6,7,7,52,11:40 AM,No moonset,06:03 AM,06:04 PM,20,29,29,27,41,5,67,0.0,1011,30,10,71,30
2009-01-05,30,25,0.0,11.6,7,7,60,12:26 PM,12:05 AM,06:04 AM,06:04 PM,19,29,29,27,41,1,63,0.0,1011,30,10,70,30
2009-01-06,30,25,0.0,11.6,7,7,67,01:18 PM,12:56 AM,06:04 AM,06:05 PM,20,29,29,27,39,1,66,0.0,1010,30,10,68,28
2009-01-07,31,25,0.0,11.6,7,7,74,02:15 PM,01:52 AM,06:04 AM,06:05 PM,20,29,29,27,38,2,64,0.0,1011,31,10,71,27
2009-01-08,31,25,0.0,11.6,7,7,82,03:18 PM,02:53 AM,06:05 AM,06:06 PM,20,29,29,27,38,2,66,0.0,1012,31,10,74,27
2009-01-09,31,25,0.0,11.6,7,7,89,04:24 PM,03:59 AM,06:05 AM,06:06 PM,20,29,29,27,37,1,68,0.0,1012,31,10,70,27
2009-01-10,31,25,0.0,11.6,7,7,96,05:31 PM,05:05 AM,06:06 AM,06:06 PM,19,29,29,27,38,1,62,0.0,1012,31,10,67,27
2009-01-11,31,25,0.0,11.6,7,7,100,06:35 PM,06:10 AM,06:06 AM,06:07 PM,20,29,29,27,36,3,65,0.0,1011,31,10,71,26
2009-01-12,31,26,0.0,11.6,7,7,89,07:34 PM,07:10 AM,06:06 AM,06:07 PM,22,31,31,28,39,11,70,0.0,1011,31,10,69,28
2009-01-13,31,26,0.0,11.6,7,7,82,08:27 PM,08:04 AM,06:07 AM,06:08 PM,22,31,31,28,42,20,72,0.1,1012,31,10,71,31
2009-01-14,30,26,0.0,10.2,7,7,75,09:18 PM,08:54 AM,06:07 AM,06:08 PM,22,30,30,27,41,28,75,0.1,1012,30,10,69,30
2009-01-15,30,26,0.0,11.6,7,7,68,10:05 PM,09:41 AM,06:07 AM,06:08 PM,22,30,30,27,37,27,74,0.8,1012,30,10,67,27
2009-01-16,30,25,0.0,11.6,7,7,60,10:50 PM,10:25 AM,06:08 AM,06:09 PM,21,30,30,27,42,33,71,0.1,1013,30,10,62,31
2009-01-17,30,25,0.0,11.6,7,7,53,11:36 PM,11:09 AM,06:08 AM,06:09 PM,21,29,29,27,40,26,70,0.0,1013,30,10,62,29
2009-01-18,30,25,0.0,11.6,7,7,46,No moonrise,11:53 AM,06:08 AM,06:09 PM,21,29,29,27,37,9,70,0.0,1012,30,10,67,27
2009-01-19,30,25,0.0,11.6,7,7,38,12:22 AM,12:38 PM,06:09 AM,06:10 PM,21,29,29,27,34,6,71,0.0,1011,30,10,74,25
2009-01-20,30,25,0.0,11.6,7,7,31,01:11 AM,01:26 PM,06:09 AM,06:10 PM,21,29,29,27,34,6,69,0.0,1010,30,10,77,24
2009-01-21,31,25,0.0,11.6,7,7,24,02:00 AM,02:15 PM,06:09 AM,06:10 PM,21,30,30,28,38,5,69,0.0,1010,31,10,73,28
2009-01-22,30,26,0.0,11.6,7,7,17,02:50 AM,03:06 PM,06:09 AM,06:11 PM,21,30,30,28,36,6,69,0.0,1011,30,10,74,26
