date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2009-01-01,8.7,1,6,45,0.0,1017,20,10,4
2009-01-02,8.7,0,12,44,0.0,1017,21,10,6
2009-01-03,8.7,1,41,43,0.0,1017,20,10,5
2009-01-04,8.7,7,33,61,3.2,1017,21,10,6
2009-01-05,8.7,4,12,51,0.1,1016,20,10,5
2009-01-06,8.7,2,18,47,0.0,1018,20,10,6
2009-01-07,8.7,1,37,42,0.0,1021,19,10,7
2009-01-08,8.7,0,17,37,0.0,1023,22,10,6
2009-01-09,8.7,-2,25,34,0.0,1023,21,10,6
2009-01-10,8.7,0,7,37,0.0,1022,22,10,6
2009-01-11,8.7,0,11,39,0.0,1021,22,10,6
2009-01-12,8.7,0,17,41,0.0,1023,22,10,7
2009-01-13,8.7,0,24,39,0.0,1024,22,10,5
2009-01-14,8.7,-4,14,29,0.0,1024,24,10,8
2009-01-15,8.7,-1,21,34,0.0,1022,25,10,6
2009-01-16,8.7,3,27,44,0.0,1022,22,10,7
2009-01-17,8.7,8,16,59,0.0,1020,23,10,8
2009-01-18,3.8,11,60,83,4.2,1018,14,10,9
2009-01-19,8.7,11,10,70,0.7,1020,22,10,8
2009-01-20,8.7,5,15,51,0.0,1018,22,10,8
2009-01-21,7.1,3,26,47,0.0,1017,23,10,9
2009-01-22,8.7,5,20,47,0.0,1017,21,10,5
2009-01-23,8.7,6,25,44,0.0,1017,24,10,9
2009-01-24,8.7,7,33,47,0.0,1015,24,10,8
2009-01-25,8.7,6,33,47,0.3,1013,19,10,9
2009-01-26,8.7,7,31,51,0.2,1013,23,10,7
2009-01-27,8.7,9,5,61,0.0,1015,23,10,6
2009-01-28,8.7,5,3,49,0.0,1015,23,10,8
2009-01-29,7.1,7,26,58,0.0,1016,23,10,5
2009-01-30,10.8,4,2,42,0.0,1017,24,10,7
2009-01-31,10.8,4,8,48,0.0,1016,23,10,7
2009-02-01,10.8,3,8,43,0.0,1016,24,10,7
2009-02-02,10.8,2,31,42,0.0,1016,24,10,6
2009-02-03,10.8,3,9,40,0.0,1016,23,10,6
2009-02-04,10.8,3,4,38,0.0,1016,26,10,8
2009-02-05,10.9,3,23,36,0.1,1016,22,10,10
2009-02-06,10.9,4,29,41,0.4,1018,23,10,11
2009-02-07,10.9,4,12,44,0.0,1018,25,10,8
2009-02-08,10.9,4,11,43,0.0,1019,25,10,6
2009-02-09,10.9,3,43,40,0.0,1017,23,10,6
2009-02-10,10.1,7,61,63,3.1,1014,19,9,8
2009-02-11,11.0,11,29,72,2.9,1015,22,10,6
2009-02-12,11.0,8,26,60,0.0,1015,24,10,6
2009-02-13,11.0,8,21,54,0.0,1011,25,10,6
2009-02-14,11.0,8,10,51,0.5,1015,25,10,12
2009-02-15,11.0,5,8,47,0.0,1016,24,10,8
2009-02-16,11.1,3,12,41,0.0,1017,24,10,7
2009-02-17,11.1,4,8,40,0.0,1017,25,10,7
2009-02-18,11.1,2,2,36,0.0,1017,26,10,9
2009-02-19,11.1,4,13,42,0.0,1014,26,10,8
2009-02-20,11.1,6,28,44,0.3,1017,27,10,9
2009-02-21,11.2,4,24,37,0.0,1018,26,10,10
2009-02-22,11.2,5,26,40,0.0,1011,26,10,7
2009-02-23,11.2,4,25,36,0.0,1011,26,10,11
2009-02-24,10.1,7,30,48,0.0,1011,25,10,9
2009-02-25,11.2,4,7,38,0.0,1012,27,10,10
2009-02-26,11.6,0,8,29,0.0,1012,27,10,9
2009-02-27,11.6,3,0,35,0.0,1014,26,10,9
2009-02-28,11.6,0,17,33,0.0,1013,26,10,9
2009-03-01,11.6,2,19,31,0.0,1012,29,10,8
2009-03-02,11.6,5,14,34,0.0,1013,30,10,8
2009-03-03,11.6,7,11,34,0.0,1010,32,10,12
2009-03-04,11.6,8,13,38,0.0,1010,31,10,8
2009-03-05,11.6,6,6,34,0.0,1011,30,10,9
2009-03-06,11.6,1,21,27,0.0,1011,30,10,9
2009-03-07,11.6,2,11,29,0.0,1012,31,10,7
2009-03-08,8.8,4,33,35,0.0,1012,28,10,8
2009-03-09,11.6,2,6,27,0.0,1016,29,10,8
2009-03-10,11.6,2,12,29,0.0,1017,30,10,8
2009-03-11,11.6,-1,1,25,0.0,1017,30,10,8
2009-03-12,11.6,4,3,35,0.0,1014,31,10,7
2009-03-13,11.6,1,16,24,0.0,1016,33,10,7
2009-03-14,11.6,0,19,22,0.0,1017,32,10,9
2009-03-15,11.6,2,0,25,0.0,1014,32,10,8
2009-03-16,11.6,4,10,28,0.0,1013,32,10,8
2009-03-17,11.6,4,12,29,0.0,1014,32,10,10
2009-03-18,11.6,7,12,34,0.0,1013,32,10,8
2009-03-19,11.6,8,22,35,0.0,1012,30,10,7
2009-03-20,11.6,8,13,37,0.0,1011,33,10,7
2009-03-21,11.6,5,4,34,0.0,1013,31,10,10
2009-03-22,11.6,3,11,28,0.0,1013,31,10,8
2009-03-23,11.6,2,7,25,0.0,1014,33,10,7
2009-03-24,11.6,5,25,36,0.8,1014,31,10,13
2009-03-25,11.6,13,24,60,3.5,1014,28,10,9
2009-03-26,11.6,10,7,47,0.0,1012,30,10,5
2009-03-27,10.2,11,42,61,2.7,1012,27,9,6
2009-03-28,11.6,12,36,58,0.0,1014,27,10,9
2009-03-29,10.2,15,34,71,10.4,1013,26,9,11
2009-03-30,11.6,12,7,53,0.4,1013,29,10,8
2009-03-31,11.6,8,2,36,0.0,1010,32,10,9
2009-04-01,11.6,5,12,31,0.0,1010,32,10,8
2009-04-02,11.6,8,17,32,0.2,1010,35,10,10
2009-04-03,11.6,12,17,45,1.1,1012,34,10,11
2009-04-04,11.6,7,14,30,0.0,1012,34,10,11
2009-04-05,11.6,5,8,27,0.0,1012,33,10,8
2009-04-06,11.6,5,27,29,0.1,1011,31,10,12
2009-04-07,11.6,7,12,32,0.2,1010,32,10,8
2009-04-08,10.3,6,27,35,0.7,1008,31,9,10
2009-04-09,11.6,10,17,47,0.4,1014,30,10,6
2009-04-10,11.6,7,6,33,0.0,1014,30,10,6
2009-04-11,11.6,8,13,32,0.0,1011,34,10,9
2009-04-12,11.6,9,10,29,0.0,1010,36,10,7
2009-04-13,11.6,7,9,25,0.0,1009,37,10,10
2009-04-14,11.6,6,8,21,0.0,1007,38,10,9
2009-04-15,13.0,5,9,21,0.0,1009,37,10,10
2009-04-16,13.0,7,10,27,0.0,1010,34,10,8
2009-04-17,13.0,5,3,23,0.0,1008,36,10,10
2009-04-18,13.0,4,0,20,0.0,1008,37,10,10
2009-04-19,13.5,4,1,19,0.0,1008,40,10,12
2009-04-20,13.5,5,16,20,0.0,1006,39,10,12
2009-04-21,13.5,6,22,22,0.0,1004,38,10,9
2009-04-22,13.5,1,8,16,0.0,1007,38,10,8
2009-04-23,13.5,-3,11,13,0.0,1012,37,10,9
2009-04-24,13.5,-3,2,13,0.0,1012,36,10,9
2009-04-25,13.6,-5,1,11,0.0,1013,38,10,8
2009-04-26,13.6,-3,8,13,0.0,1012,38,10,10
2009-04-27,13.6,1,6,14,0.0,1010,41,10,10
2009-04-28,13.6,5,5,18,0.0,1009,41,10,10
2009-04-29,13.6,5,14,19,0.0,1010,43,10,10
2009-04-30,13.7,3,10,15,0.0,1009,42,10,10
2009-05-01,13.7,1,13,14,0.0,1008,43,10,9
2009-05-02,13.7,1,17,13,0.0,1008,44,10,9
2009-05-03,13.7,3,10,15,0.1,1009,41,10,11
2009-05-04,13.7,5,18,22,0.0,1009,34,10,12
2009-05-05,13.3,8,23,34,0.5,1011,28,10,12
2009-05-06,13.7,8,10,28,0.1,1012,37,10,10
2009-05-07,13.8,5,5,22,0.0,1008,38,10,9
2009-05-08,13.8,4,4,18,0.0,1007,39,10,9
2009-05-09,13.8,5,4,19,0.0,1005,39,10,11
2009-05-10,13.8,7,6,21,0.0,1004,39,10,10
2009-05-11,13.8,2,7,17,0.0,1005,39,10,9
2009-05-12,13.8,2,0,15,0.0,1006,40,10,6
2009-05-13,13.9,4,3,16,0.0,1004,41,10,8
2009-05-14,13.9,6,3,17,0.0,1002,43,10,8
2009-05-15,13.9,8,5,18,0.0,1004,44,10,8
2009-05-16,13.9,5,1,15,0.0,1005,43,10,10
2009-05-17,13.9,4,0,14,0.0,1006,44,10,10
2009-05-18,13.9,3,0,13,0.0,1004,46,10,8
2009-05-19,13.9,5,9,15,0.0,1005,47,10,8
2009-05-20,13.9,7,5,17,0.0,1004,45,10,9
2009-05-21,14.0,4,3,14,0.0,1005,45,10,10
2009-05-22,14.0,3,1,13,0.0,1004,45,10,12
2009-05-23,14.0,4,1,15,0.0,1003,44,10,7
2009-05-24,14.0,4,0,14,0.0,1002,43,10,9
2009-05-25,14.0,5,7,19,0.0,1001,39,10,10
2009-05-26,14.0,5,1,18,0.0,999,41,10,10
2009-05-27,14.0,2,3,14,0.0,1002,43,10,9
2009-05-28,14.0,2,3,13,0.0,1003,44,10,8
