date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2009-01-01,8.7,2,7,53,0.0,1017,20,10,5
2009-01-02,8.7,0,12,48,0.0,1017,21,10,6
2009-01-03,8.7,1,36,47,0.0,1017,20,10,6
2009-01-04,8.7,6,47,57,2.1,1017,21,10,9
2009-01-05,8.7,4,11,54,0.1,1015,20,10,5
2009-01-06,8.7,2,18,48,0.0,1018,20,10,7
2009-01-07,8.7,-1,39,37,0.0,1021,20,10,8
2009-01-08,8.7,0,15,42,0.0,1023,21,10,6
2009-01-09,8.7,-2,25,38,0.0,1023,21,10,7
2009-01-10,8.7,1,18,43,0.0,1022,21,10,6
2009-01-11,7.1,0,17,44,0.0,1021,21,10,6
2009-01-12,7.1,1,27,50,0.0,1023,21,10,7
2009-01-13,8.7,0,10,45,0.0,1024,21,10,7
2009-01-14,8.7,-4,17,32,0.0,1023,23,10,8
2009-01-15,8.7,0,17,42,0.0,1022,24,10,7
2009-01-16,8.7,3,25,46,0.0,1022,21,10,7
2009-01-17,8.7,9,25,70,3.0,1020,20,10,6
2009-01-18,5.5,10,66,84,3.7,1018,15,10,6
2009-01-19,8.7,9,7,72,0.5,1020,21,10,9
2009-01-20,8.7,4,16,56,0.0,1018,22,10,10
2009-01-21,8.7,3,23,51,0.0,1017,21,10,11
2009-01-22,8.7,3,29,47,0.0,1017,18,10,6
2009-01-23,8.7,5,36,43,0.0,1017,23,10,11
2009-01-24,5.5,7,55,50,0.6,1015,21,9,9
2009-01-25,7.1,6,50,45,0.0,1013,20,10,7
2009-01-26,8.7,8,33,52,0.1,1013,24,10,8
2009-01-27,8.7,9,4,63,0.0,1015,22,10,7
2009-01-28,8.7,6,1,56,0.0,1015,23,10,9
2009-01-29,7.1,7,31,64,0.0,1016,23,10,6
2009-01-30,8.7,5,6,51,0.0,1017,23,10,7
2009-01-31,10.8,3,6,47,0.0,1015,22,10,9
2009-02-01,10.8,3,9,45,0.0,1015,24,10,9
2009-02-02,10.1,2,31,46,0.0,1016,23,10,7
2009-02-03,10.9,4,6,48,0.0,1016,22,10,6
2009-02-04,10.9,3,4,42,0.0,1016,26,10,8
2009-02-05,10.9,2,13,35,0.0,1015,24,10,12
2009-02-06,10.9,3,29,38,0.0,1017,24,10,8
2009-02-07,10.9,3,11,45,0.0,1018,24,10,9
2009-02-08,10.9,4,13,48,0.0,1018,24,10,7
2009-02-09,10.9,3,49,44,0.0,1017,21,10,7
2009-02-10,10.1,7,52,62,2.9,1014,20,9,8
2009-02-11,11.0,10,36,76,2.8,1015,19,10,4
2009-02-12,11.0,7,22,62,0.0,1015,23,10,8
2009-02-13,11.0,7,26,54,0.0,1011,25,10,7
2009-02-14,11.0,7,10,51,0.3,1015,25,10,10
2009-02-15,11.1,4,7,48,0.0,1016,24,10,9
2009-02-16,11.1,2,15,42,0.0,1016,24,10,8
2009-02-17,11.1,3,3,41,0.0,1016,25,10,8
2009-02-18,11.1,0,4,34,0.0,1016,25,10,10
2009-02-19,11.1,3,23,40,0.0,1014,26,10,9
2009-02-20,11.1,5,27,43,0.1,1017,27,10,9
2009-02-21,11.2,2,22,35,0.0,1017,27,10,10
2009-02-22,11.2,2,27,36,0.0,1012,27,10,8
2009-02-23,10.1,2,25,32,0.0,1011,27,10,8
2009-02-24,7.3,7,44,49,0.3,1011,25,10,10
2009-02-25,11.6,5,9,39,0.0,1012,26,10,12
2009-02-26,11.6,-1,7,28,0.0,1012,27,10,9
2009-02-27,11.6,-1,0,29,0.0,1014,26,10,10
2009-02-28,11.6,-2,17,30,0.0,1013,25,10,11
2009-03-01,11.6,0,21,31,0.0,1011,28,10,8
2009-03-02,11.6,5,8,36,0.0,1013,30,10,9
2009-03-03,10.2,6,17,33,0.0,1010,33,10,11
2009-03-04,11.6,7,12,37,0.0,1010,32,10,9
2009-03-05,11.6,5,10,38,0.0,1011,30,10,8
2009-03-06,10.2,-1,34,26,0.0,1011,30,10,9
2009-03-07,11.6,1,7,29,0.0,1011,30,10,7
2009-03-08,8.8,3,54,36,0.0,1012,28,10,8
2009-03-09,11.6,1,10,28,0.0,1016,29,10,8
2009-03-10,11.6,-3,20,21,0.0,1017,30,10,9
2009-03-11,11.6,-2,0,24,0.0,1017,30,10,10
2009-03-12,11.6,1,4,33,0.0,1014,31,10,9
2009-03-13,11.6,2,11,29,0.0,1016,33,10,8
2009-03-14,10.2,0,21,22,0.0,1016,32,10,9
2009-03-15,11.6,0,0,22,0.0,1014,33,10,10
2009-03-16,11.6,1,18,25,0.0,1014,33,10,8
2009-03-17,11.6,-1,14,21,0.0,1014,32,10,11
2009-03-18,11.6,4,12,27,0.0,1013,33,10,8
2009-03-19,11.6,5,22,28,0.4,1012,31,10,9
2009-03-20,11.6,5,14,30,0.4,1011,32,10,9
2009-03-21,11.6,5,6,34,0.1,1013,31,10,10
2009-03-22,11.6,0,9,24,0.0,1013,31,10,9
2009-03-23,11.6,0,9,22,0.0,1014,33,10,7
2009-03-24,11.6,4,17,31,0.1,1013,32,10,11
2009-03-25,10.2,12,28,61,4.1,1013,28,10,8
2009-03-26,11.6,8,7,44,0.0,1012,29,10,7
2009-03-27,11.6,9,37,56,1.5,1012,28,10,8
2009-03-28,11.6,10,25,49,0.0,1013,29,10,11
2009-03-29,8.9,13,36,67,5.2,1012,26,9,11
2009-03-30,11.6,10,8,49,0.0,1012,30,10,9
2009-03-31,11.6,7,2,36,0.0,1010,31,10,10
2009-04-01,11.6,4,9,30,0.0,1010,33,10,9
2009-04-02,11.6,6,16,27,0.0,1010,35,10,9
2009-04-03,11.6,9,16,39,1.2,1012,35,10,12
2009-04-04,11.6,4,14,26,0.0,1012,34,10,11
2009-04-05,11.6,3,9,25,0.0,1012,34,10,9
2009-04-06,11.6,4,29,31,1.2,1010,32,10,13
2009-04-07,11.6,6,9,34,0.9,1010,33,10,8
2009-04-08,11.6,4,24,32,0.2,1008,31,10,14
2009-04-09,11.6,10,20,49,0.0,1014,30,10,7
2009-04-10,11.6,6,6,33,0.0,1014,30,10,8
2009-04-11,11.6,7,13,32,0.0,1011,34,10,10
2009-04-12,11.6,6,6,26,0.0,1010,36,10,7
2009-04-13,11.6,5,6,22,0.0,1008,37,10,10
2009-04-14,13.0,3,2,18,0.0,1007,38,10,10
2009-04-15,13.0,1,7,16,0.0,1008,38,10,10
2009-04-16,13.0,4,15,24,0.0,1009,33,10,11
2009-04-17,13.0,4,2,22,0.0,1008,35,10,11
2009-04-18,13.0,3,0,21,0.0,1008,37,10,10
2009-04-19,13.0,3,0,19,0.0,1008,40,10,12
2009-04-20,13.1,5,7,20,0.0,1005,39,10,12
2009-04-21,13.1,4,8,19,0.0,1003,36,10,12
2009-04-22,13.5,-2,8,13,0.0,1007,37,10,9
2009-04-23,13.5,-5,3,11,0.0,1011,37,10,11
2009-04-24,13.5,-6,4,11,0.0,1012,36,10,10
2009-04-25,13.6,-10,0,8,0.0,1013,37,10,10
2009-04-26,13.6,-4,3,12,0.0,1012,38,10,11
2009-04-27,13.6,1,5,15,0.0,1010,41,10,9
2009-04-28,13.6,4,4,18,0.0,1008,41,10,10
2009-04-29,13.6,3,15,16,0.0,1009,43,10,10
2009-04-30,13.6,2,23,15,0.0,1008,42,10,10
2009-05-01,13.3,0,31,12,0.0,1008,43,10,9
2009-05-02,13.7,-1,25,11,0.0,1008,43,10,9
2009-05-03,13.7,1,11,13,0.1,1009,41,10,11
2009-05-04,13.7,4,26,21,1.9,1009,39,10,12
2009-05-05,13.7,7,18,31,0.2,1011,29,10,12
2009-05-06,13.7,6,6,25,0.0,1012,37,10,10
2009-05-07,13.7,4,4,20,0.0,1008,37,10,9
2009-05-08,13.8,2,5,16,0.0,1007,39,10,9
2009-05-09,13.8,4,4,18,0.0,1005,39,10,11
2009-05-10,13.8,4,7,19,0.0,1004,37,10,13
2009-05-11,13.8,1,15,14,0.0,1005,39,10,9
2009-05-12,13.8,2,2,15,0.0,1006,40,10,7
2009-05-13,13.8,3,1,15,0.0,1004,41,10,8
2009-05-14,13.8,7,3,18,0.0,1002,43,10,9
2009-05-15,13.9,8,10,19,0.0,1004,41,10,12
2009-05-16,13.9,6,2,16,0.0,1005,43,10,8
2009-05-17,13.9,5,1,14,0.0,1007,44,10,9
2009-05-18,13.9,3,0,13,0.0,1004,45,10,9
2009-05-19,13.9,4,7,13,0.0,1005,47,10,10
2009-05-20,13.9,6,5,14,0.0,1004,46,10,8
2009-05-21,13.9,3,3,13,0.0,1004,44,10,9
2009-05-22,14.0,2,6,12,0.0,1004,44,10,10
2009-05-23,14.0,2,5,13,0.0,1003,44,10,8
2009-05-24,14.0,2,1,12,0.0,1002,43,10,9
2009-05-25,14.0,4,7,16,0.0,1001,40,10,9
2009-05-26,14.0,4,2,18,0.0,999,40,10,8
2009-05-27,14.0,2,7,14,0.0,1002,44,10,9
2009-05-28,14.0,2,0,12,0.0,1003,43,10,10
2009-05-29,14.0,6,9,17,0.0,1003,40,10,11
2009-05-30,14.0,10,8,25,0.0,1004,38,10,9
2009-05-31,14.0,11,2,25,0.2,1004,41,10,7
2009-06-01,14.1,5,2,17,0.0,1003,41,10,9
2009-06-02,14.1,6,2,17,0.0,1002,43,10,11
2009-06-03,14.1,4,1,15,0.0,1002,45,10,11
2009-06-04,14.1,4,0,13,0.0,1000,45,10,8
2009-06-05,13.4,2,24,12,0.0,999,45,10,11
2009-06-06,14.1,-1,29,10,0.0,998,43,10,9
2009-06-07,14.1,-4,0,9,0.0,1000,42,10,11
2009-06-08,14.1,-3,2,10,0.0,1002,42,10,13
2009-06-09,14.1,0,0,12,0.0,1003,42,10,10
2009-06-10,14.1,1,1,12,0.0,1004,43,10,10
2009-06-11,14.1,2,1,12,0.0,1004,43,10,9
2009-06-12,14.1,5,7,15,0.0,1003,42,10,10
2009-06-13,14.1,4,7,16,0.0,1006,40,10,12
2009-06-14,14.1,3,11,13,0.0,1006,44,10,9
2009-06-15,14.1,2,4,14,0.0,1004,41,10,10
2009-06-16,14.1,5,21,19,0.0,1005,36,10,8
2009-06-17,14.1,7,9,21,0.0,1005,39,10,9
2009-06-18,14.1,8,7,22,0.0,1004,41,10,12
2009-06-19,14.1,7,2,20,0.0,1004,42,10,10
