date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2010-01-01,8.7,-1,0,41,0.0,1017,23,10,6
2010-01-02,8.7,0,1,42,0.0,1018,22,10,6
2010-01-03,8.7,-1,33,46,0.5,1019,17,9,8
2010-01-04,8.7,3,4,52,0.0,1018,21,10,8
2010-01-05,8.7,2,0,50,0.0,1014,22,10,5
2010-01-06,8.7,1,9,49,0.0,1015,22,10,5
2010-01-07,8.7,-2,3,39,0.0,1017,23,10,5
2010-01-08,8.7,-7,0,25,0.0,1017,23,10,8
2010-01-09,8.7,-6,0,27,0.0,1018,23,10,8
2010-01-10,8.7,-8,0,23,0.0,1019,23,10,9
2010-01-11,8.7,-7,0,25,0.0,1019,23,10,8
2010-01-12,8.7,-9,32,22,0.0,1017,21,10,7
2010-01-13,8.7,-1,20,47,0.0,1019,17,10,4
2010-01-14,8.7,-2,13,40,0.0,1023,22,10,8
2010-01-15,8.7,-2,1,38,0.0,1022,23,10,7
2010-01-16,8.7,-2,13,35,0.0,1022,24,10,8
2010-01-17,8.7,-1,12,41,0.0,1022,24,10,5
2010-01-18,8.7,-4,8,32,0.0,1021,24,10,9
2010-01-19,8.7,-4,10,29,0.0,1020,23,10,8
2010-01-20,8.7,-4,14,29,0.0,1020,24,10,7
2010-01-21,8.7,0,10,38,0.0,1019,24,10,7
2010-01-22,8.7,-2,20,35,0.0,1018,23,10,6
2010-01-23,8.7,1,14,38,0.0,1018,25,10,7
2010-01-24,8.7,0,13,35,0.0,1017,25,10,8
2010-01-25,8.7,0,4,35,0.0,1019,25,10,8
2010-01-26,8.7,1,16,39,0.0,1018,25,10,8
2010-01-27,8.7,-1,21,31,0.0,1018,25,10,9
2010-01-28,8.7,-2,8,26,0.0,1017,26,10,7
2010-01-29,8.7,4,28,49,1.0,1019,19,10,8
2010-01-30,8.7,2,24,46,0.0,1019,24,10,10
2010-01-31,8.7,-1,39,38,0.0,1017,23,10,7
2010-02-01,8.7,-2,9,33,0.0,1018,23,10,7
2010-02-02,8.7,-3,2,31,0.0,1018,22,10,8
2010-02-03,8.7,-2,5,32,0.0,1017,23,10,8
2010-02-04,8.7,-1,9,35,0.0,1018,24,10,8
2010-02-05,8.7,3,34,44,0.1,1017,22,10,9
2010-02-06,8.7,9,36,62,0.6,1018,23,10,8
2010-02-07,7.2,11,47,75,2.0,1018,18,9,8
2010-02-08,4.1,12,79,90,12.8,1011,14,9,21
2010-02-09,8.7,11,47,87,12.0,1010,17,8,12
2010-02-10,8.7,4,10,60,0.0,1019,19,10,8
2010-02-11,8.7,4,21,52,0.0,1019,21,10,6
2010-02-12,8.7,5,28,51,0.0,1019,22,10,9
2010-02-13,8.7,4,10,47,0.0,1019,23,10,9
2010-02-14,8.7,3,10,46,0.0,1016,21,10,8
2010-02-15,8.7,2,11,41,0.0,1016,23,10,11
2010-02-16,8.7,3,12,44,0.1,1018,23,10,9
2010-02-17,8.7,3,3,43,0.0,1019,24,10,9
2010-02-18,8.7,2,5,42,0.0,1016,24,10,8
2010-02-19,8.7,3,7,42,0.0,1017,25,10,8
2010-02-20,8.7,3,12,43,0.0,1017,27,10,9
2010-02-21,8.7,7,4,51,0.0,1015,28,10,7
2010-02-22,5.7,5,43,40,0.0,1014,28,10,8
2010-02-23,8.7,5,9,40,0.0,1012,27,10,7
2010-02-24,8.7,7,8,49,0.0,1012,27,10,9
2010-02-25,8.7,8,18,50,0.1,1014,26,10,10
2010-02-26,8.7,9,21,49,0.0,1015,27,10,9
2010-02-27,8.7,9,17,43,0.0,1014,30,10,11
2010-02-28,8.7,11,29,51,0.5,1012,28,10,10
2010-03-01,8.7,12,12,53,0.7,1014,30,10,10
2010-03-02,8.7,5,2,38,0.0,1014,29,10,12
2010-03-03,8.7,4,30,38,0.1,1010,25,10,11
2010-03-04,11.6,9,32,64,1.3,1012,21,10,8
2010-03-05,11.6,7,3,48,0.0,1013,28,10,10
2010-03-06,10.2,6,24,53,0.2,1013,25,9,12
2010-03-07,11.6,9,11,56,0.4,1015,28,10,9
2010-03-08,11.6,8,4,48,0.0,1016,29,10,7
2010-03-09,11.6,6,6,40,0.0,1017,30,10,8
2010-03-10,11.6,6,0,38,0.0,1017,31,10,10
2010-03-11,11.6,7,0,39,0.0,1017,31,10,8
2010-03-12,11.6,6,7,35,0.0,1017,32,10,10
2010-03-13,11.6,7,3,38,0.0,1014,32,10,11
2010-03-14,11.6,7,3,36,0.0,1010,34,10,10
2010-03-15,11.6,7,4,34,0.0,1010,33,10,8
2010-03-16,11.6,9,1,36,0.0,1013,35,10,8
2010-03-17,11.6,9,0,36,0.0,1017,34,10,7
2010-03-18,11.6,7,0,31,0.0,1018,35,10,9
2010-03-19,11.6,9,3,36,0.0,1014,36,10,7
2010-03-20,11.6,9,7,34,0.0,1011,38,10,8
2010-03-21,10.2,7,27,27,0.0,1010,37,10,8
2010-03-22,11.6,8,6,27,0.0,1006,38,10,8
2010-03-23,11.6,5,0,22,0.0,1004,38,10,9
2010-03-24,12.1,4,0,21,0.0,1007,38,10,7
2010-03-25,12.6,4,13,22,0.0,1007,37,10,8
2010-03-26,12.6,3,8,19,0.0,1008,38,10,8
2010-03-27,12.6,4,1,22,0.0,1010,37,10,12
2010-03-28,12.6,3,10,22,0.0,1009,37,10,12
2010-03-29,12.7,6,11,24,0.0,1008,38,10,10
2010-03-30,12.7,6,8,25,0.0,1006,36,10,12
2010-03-31,12.7,4,1,25,0.0,1007,36,10,12
2010-04-01,12.7,0,2,19,0.0,1007,36,10,12
2010-04-02,12.7,3,15,24,0.0,1009,35,10,10
2010-04-03,12.7,5,5,25,0.0,1012,36,10,12
2010-04-04,12.8,6,9,27,0.0,1013,36,10,14
2010-04-05,12.8,4,2,23,0.0,1013,36,10,13
2010-04-06,12.8,1,0,21,0.0,1011,37,10,10
2010-04-07,12.8,-1,12,17,0.0,1011,38,10,8
2010-04-08,12.8,-1,9,15,0.0,1013,40,10,13
2010-04-09,12.9,5,18,21,0.0,1008,39,10,13
2010-04-10,12.9,5,3,21,0.0,1004,40,10,11
2010-04-11,12.9,5,12,20,0.0,1004,41,10,10
2010-04-12,12.9,10,14,28,0.2,1008,38,10,8
2010-04-13,12.9,4,0,20,0.0,1008,39,10,14
2010-04-14,13.0,0,2,15,0.0,1007,42,10,10
2010-04-15,13.0,0,10,13,0.0,1009,42,10,11
2010-04-16,13.0,4,13,16,0.0,1008,43,10,11
2010-04-17,13.0,5,9,17,0.0,1006,43,10,12
2010-04-18,13.0,11,19,26,0.1,1004,41,10,14
