date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2010-01-01,8.7,4,0,49,0.0,1017,23,10,10
2010-01-02,8.7,5,14,55,0.0,1018,21,10,4
2010-01-03,7.1,6,41,69,2.2,1019,13,10,8
2010-01-04,8.7,5,3,65,0.0,1017,19,10,16
2010-01-05,8.7,4,0,52,0.0,1014,21,10,12
2010-01-06,8.7,5,2,58,0.0,1016,21,10,6
2010-01-07,8.7,6,0,60,0.0,1017,22,10,5
2010-01-08,8.7,6,0,59,0.0,1017,21,10,6
2010-01-09,8.7,2,0,45,0.0,1016,22,10,8
2010-01-10,8.7,1,0,43,0.0,1016,21,10,6
2010-01-11,8.7,0,0,45,0.0,1017,21,10,7
2010-01-12,8.7,-1,31,44,0.0,1017,21,10,9
2010-01-13,8.7,7,33,79,3.3,1019,15,10,11
2010-01-14,8.7,5,7,59,0.0,1023,20,10,11
2010-01-15,8.7,3,8,50,0.0,1022,21,10,10
2010-01-16,8.7,3,0,48,0.0,1022,22,10,11
2010-01-17,8.7,4,9,57,0.0,1021,22,10,5
2010-01-18,8.7,4,8,53,0.0,1020,22,10,7
2010-01-19,8.7,2,9,46,0.0,1018,22,10,8
2010-01-20,8.7,2,11,50,0.0,1019,22,10,5
2010-01-21,8.7,5,2,52,0.0,1018,23,10,8
2010-01-22,8.7,5,13,58,0.0,1017,21,10,6
2010-01-23,8.7,5,16,58,0.0,1017,23,10,5
2010-01-24,8.7,6,3,56,0.0,1016,23,10,6
2010-01-25,8.7,5,3,50,0.0,1017,24,10,8
2010-01-26,8.7,5,6,49,0.0,1018,25,10,8
2010-01-27,8.7,5,18,52,0.0,1017,24,10,6
2010-01-28,8.7,7,12,53,0.0,1016,25,10,8
2010-01-29,8.7,8,8,57,0.0,1017,25,10,12
2010-01-30,8.7,6,11,54,0.0,1017,24,10,13
2010-01-31,10.1,6,29,57,0.0,1016,22,10,8
2010-02-01,10.9,6,5,57,0.0,1016,22,10,7
2010-02-02,10.9,3,1,45,0.0,1017,23,10,8
2010-02-03,10.9,1,0,39,0.0,1017,23,10,9
2010-02-04,10.9,-1,8,34,0.0,1017,24,10,11
2010-02-05,10.9,2,9,37,0.0,1017,25,10,14
2010-02-06,10.9,6,18,47,0.0,1017,27,10,9
2010-02-07,10.9,9,34,49,0.0,1016,28,10,7
2010-02-08,8.5,10,53,65,6.1,1011,21,10,20
2010-02-09,11.0,12,41,82,3.6,1010,19,10,18
2010-02-10,11.0,8,9,69,0.0,1017,21,10,9
2010-02-11,11.0,7,10,63,0.0,1018,22,10,8
2010-02-12,11.0,9,22,73,0.0,1018,18,10,10
2010-02-13,11.0,8,6,62,0.0,1016,23,10,8
2010-02-14,11.1,9,4,67,0.0,1014,22,10,5
2010-02-15,11.1,5,21,53,0.0,1013,22,10,13
2010-02-16,11.1,7,8,51,0.0,1016,25,10,9
2010-02-17,11.1,4,1,48,0.0,1017,23,10,11
2010-02-18,11.1,4,2,48,0.0,1015,24,10,12
2010-02-19,11.1,5,1,46,0.0,1016,25,10,11
2010-02-20,11.2,5,1,42,0.0,1016,27,10,12
2010-02-21,11.6,6,1,42,0.0,1014,28,10,14
2010-02-22,11.6,7,36,43,0.0,1013,29,10,9
2010-02-23,11.6,12,35,66,0.1,1012,24,10,11
2010-02-24,11.6,10,6,55,0.0,1010,27,10,9
2010-02-25,11.6,9,12,47,0.0,1012,28,10,10
2010-02-26,11.6,7,9,40,0.0,1013,29,10,12
2010-02-27,11.6,8,13,39,0.0,1012,31,10,12
2010-02-28,11.6,9,27,43,0.0,1011,31,10,10
2010-03-01,11.6,12,12,46,0.0,1012,31,10,9
2010-03-02,11.6,8,8,40,0.0,1012,31,10,13
2010-03-03,11.6,3,23,31,0.0,1009,30,10,10
2010-03-04,11.6,6,13,43,0.0,1010,29,10,9
2010-03-05,11.6,8,5,44,0.0,1011,30,10,10
2010-03-06,11.6,5,6,36,0.0,1011,31,10,12
2010-03-07,11.6,11,4,56,0.0,1014,29,10,11
2010-03-08,11.6,11,2,53,0.0,1014,28,10,10
2010-03-09,11.6,9,0,44,0.0,1015,30,10,8
2010-03-10,11.6,6,0,38,0.0,1016,32,10,10
2010-03-11,11.6,7,2,39,0.0,1017,32,10,8
2010-03-12,11.6,7,7,38,0.0,1016,32,10,8
2010-03-13,11.6,5,6,30,0.0,1012,33,10,10
2010-03-14,11.6,7,2,33,0.0,1009,34,10,10
2010-03-15,11.6,9,7,41,0.0,1009,34,10,6
2010-03-16,11.6,13,0,49,0.0,1012,35,10,7
2010-03-17,11.6,12,1,43,0.0,1016,35,10,7
2010-03-18,11.6,11,1,39,0.0,1017,35,10,8
2010-03-19,11.6,11,1,36,0.0,1013,37,10,10
2010-03-20,11.6,12,1,37,0.0,1010,38,10,8
2010-03-21,11.6,9,5,31,0.0,1008,39,10,8
2010-03-22,11.6,6,1,23,0.0,1003,39,10,8
2010-03-23,11.6,5,0,22,0.0,1001,39,10,7
2010-03-24,11.6,7,0,23,0.0,1004,39,10,6
2010-03-25,11.6,1,13,17,0.0,1005,39,10,9
2010-03-26,11.6,5,5,22,0.0,1006,38,10,7
2010-03-27,11.6,6,1,23,0.0,1008,38,10,9
2010-03-28,11.6,3,0,19,0.0,1007,38,10,11
2010-03-29,11.6,3,3,19,0.0,1006,40,10,11
2010-03-30,11.6,6,3,24,0.0,1003,38,10,9
2010-03-31,11.6,7,2,29,0.6,1004,38,10,9
2010-04-01,11.6,-1,0,14,0.0,1005,38,10,9
2010-04-02,11.6,-2,11,13,0.0,1007,38,10,14
2010-04-03,11.6,5,2,21,0.0,1009,38,10,12
2010-04-04,11.6,-1,2,13,0.0,1009,38,10,12
2010-04-05,11.6,0,0,14,0.0,1009,38,10,12
2010-04-06,11.6,-1,0,14,0.0,1009,37,10,14
2010-04-07,11.6,-1,21,14,0.0,1010,39,10,11
2010-04-08,11.6,-4,16,10,0.0,1011,42,10,10
2010-04-09,11.6,-2,5,11,0.0,1006,41,10,14
2010-04-10,11.6,3,3,16,0.0,1003,42,10,12
2010-04-11,11.6,3,10,15,0.0,1002,42,10,9
2010-04-12,11.6,5,5,18,0.0,1004,41,10,9
2010-04-13,12.5,3,1,16,0.0,1005,41,10,15
2010-04-14,12.9,-1,0,12,0.0,1006,43,10,13
2010-04-15,12.9,-2,2,10,0.0,1007,43,10,10
2010-04-16,13.0,0,2,11,0.0,1006,44,10,10
2010-04-17,13.0,3,7,13,0.0,1004,45,10,9
2010-04-18,13.0,6,7,17,0.0,1001,44,10,8
2010-04-19,13.0,10,2,22,0.0,1000,44,10,8
2010-04-20,13.0,8,0,19,0.0,999,43,10,7
2010-04-21,13.0,7,9,19,0.0,1001,42,10,11
2010-04-22,13.1,6,2,20,0.0,1005,39,10,9
2010-04-23,13.1,2,0,16,0.0,1006,40,10,13
2010-04-24,13.1,0,5,14,0.0,1006,40,10,12
2010-04-25,13.1,0,0,13,0.0,1005,40,10,9
2010-04-26,13.1,0,3,11,0.0,1007,43,10,12
2010-04-27,13.1,3,11,15,0.0,1008,43,10,12
2010-04-28,13.6,9,10,23,0.2,1007,41,10,11
2010-04-29,13.6,8,4,20,0.0,1006,43,10,7
2010-04-30,13.6,6,7,17,0.0,1006,44,10,7
2010-05-01,13.6,7,7,19,0.0,1007,41,10,8
2010-05-02,13.6,9,4,21,0.0,1006,44,10,7
2010-05-03,13.6,10,4,24,0.0,1003,43,10,9
2010-05-04,13.7,10,3,21,0.0,1000,45,10,6
2010-05-05,13.7,10,6,22,0.0,1000,43,10,12
2010-05-06,13.7,13,13,29,0.0,1002,42,10,11
2010-05-07,13.7,16,17,40,1.4,1004,36,10,7
2010-05-08,13.7,12,5,31,0.0,1005,39,10,10
2010-05-09,13.7,6,3,19,0.0,1002,41,10,13
2010-05-10,13.7,4,0,15,0.0,1001,42,10,11
2010-05-11,13.8,3,1,13,0.0,1002,42,10,12
2010-05-12,13.8,2,0,12,0.0,1002,43,10,11
2010-05-13,13.8,1,15,12,0.0,1001,44,10,9
2010-05-14,13.8,2,5,12,0.0,1000,44,10,10
2010-05-15,13.8,1,1,11,0.0,1001,44,10,9
2010-05-16,13.8,1,4,11,0.0,1000,45,10,9
2010-05-17,13.8,4,17,13,0.0,1000,46,10,11
2010-05-18,13.8,8,7,18,0.0,1002,46,10,14
2010-05-19,13.9,7,1,19,0.0,1003,43,10,15
2010-05-20,13.9,1,0,11,0.0,1001,43,10,14
2010-05-21,13.9,2,0,12,0.0,1001,44,10,9
2010-05-22,13.9,3,2,11,0.0,1000,47,10,9
2010-05-23,13.9,5,9,13,0.0,999,47,10,10
2010-05-24,13.9,6,0,13,0.0,997,46,10,12
2010-05-25,13.9,3,0,11,0.0,995,47,10,10
2010-05-26,13.9,-2,0,8,0.0,993,48,10,11
2010-05-27,13.9,2,9,10,0.0,994,48,10,8
2010-05-28,13.9,13,3,25,0.0,996,45,10,21
2010-05-29,14.0,13,3,26,0.0,1001,45,10,13
2010-05-30,14.0,5,0,15,0.0,1002,43,10,9
2010-05-31,14.0,2,0,12,0.0,1001,44,10,10
2010-06-01,14.0,3,0,11,0.0,1001,45,10,10
2010-06-02,14.0,6,3,13,0.0,1002,46,10,9
2010-06-03,14.0,7,5,15,0.0,1002,45,10,10
2010-06-04,14.0,9,6,18,0.0,1001,44,10,9
2010-06-05,14.0,9,3,20,0.0,1001,41,10,9
2010-06-06,14.0,3,18,15,0.0,1000,41,10,9
2010-06-07,11.1,15,57,49,7.1,1003,30,10,8
2010-06-08,13.4,19,56,80,6.3,1005,23,9,10
2010-06-09,14.0,17,7,46,0.0,1003,38,10,7
2010-06-10,14.0,12,8,28,0.0,1003,39,10,9
2010-06-11,14.0,10,4,22,0.0,1002,42,10,8
2010-06-12,14.1,10,4,20,0.0,1001,43,10,9
2010-06-13,14.1,10,3,19,0.0,1000,44,10,8
2010-06-14,14.1,10,9,22,0.0,1001,41,10,8
2010-06-15,13.4,9,25,21,0.0,1000,41,10,10
2010-06-16,14.1,11,4,23,0.0,1000,42,10,8
2010-06-17,14.1,11,4,23,0.0,1000,43,10,9
2010-06-18,14.1,9,2,18,0.0,1001,44,10,10
2010-06-19,14.1,10,2,18,0.0,1000,45,10,8
2010-06-20,14.1,10,3,16,0.0,999,47,10,8
2010-06-21,14.1,10,1,16,0.0,997,48,10,9
2010-06-22,14.1,10,2,16,0.0,996,47,10,9
2010-06-23,14.1,11,0,17,0.0,996,46,10,7
2010-06-24,14.1,11,3,18,0.0,995,46,10,6
2010-06-25,14.1,11,9,21,0.0,997,44,10,7
2010-06-26,14.1,12,4,22,0.0,997,44,10,10
2010-06-27,14.1,9,3,17,0.0,997,46,10,7
2010-06-28,14.1,10,9,18,0.0,997,46,10,9
2010-06-29,14.1,9,9,17,0.0,997,46,10,8
2010-06-30,14.1,12,12,23,0.0,997,42,10,9
2010-07-01,14.1,13,12,24,0.0,998,44,10,8
