date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2010-01-01,8.7,5,0,58,0.0,1016,23,10,9
2010-01-02,8.7,5,16,56,0.0,1018,21,10,5
2010-01-03,8.7,6,40,69,1.3,1019,14,10,5
2010-01-04,8.7,4,2,64,0.0,1017,19,10,13
2010-01-05,8.7,4,0,59,0.0,1014,21,10,10
2010-01-06,8.7,5,2,63,0.0,1015,21,10,5
2010-01-07,8.7,5,0,61,0.0,1017,21,10,6
2010-01-08,8.7,5,0,61,0.0,1017,20,10,5
2010-01-09,8.7,0,0,46,0.0,1016,21,10,10
2010-01-10,8.7,-2,0,40,0.0,1016,20,10,9
2010-01-11,8.7,-1,0,44,0.0,1017,21,10,8
2010-01-12,7.1,-1,45,46,0.2,1017,19,9,10
2010-01-13,8.7,7,28,79,1.7,1019,15,10,10
2010-01-14,8.7,4,8,60,0.0,1023,20,10,11
2010-01-15,8.7,2,8,52,0.0,1022,21,10,10
2010-01-16,8.7,3,0,52,0.0,1022,22,10,10
2010-01-17,8.7,4,12,60,0.0,1021,22,10,5
2010-01-18,8.7,4,8,57,0.0,1020,21,10,7
2010-01-19,8.7,1,11,46,0.0,1018,22,10,9
2010-01-20,8.7,2,14,51,0.0,1019,22,10,7
2010-01-21,8.7,4,3,52,0.0,1018,22,10,9
2010-01-22,8.7,5,14,59,0.0,1017,22,10,6
2010-01-23,8.7,5,4,60,0.0,1017,23,10,5
2010-01-24,8.7,5,4,58,0.0,1015,23,10,6
2010-01-25,8.7,4,3,50,0.0,1017,23,10,8
2010-01-26,8.7,5,6,53,0.0,1018,24,10,8
2010-01-27,8.7,6,18,56,0.0,1017,23,10,6
2010-01-28,10.8,7,5,55,0.0,1016,25,10,8
2010-01-29,10.8,9,9,63,0.0,1016,26,10,10
2010-01-30,10.8,7,10,60,0.0,1017,24,10,13
2010-01-31,8.5,6,27,61,0.0,1016,22,10,7
2010-02-01,10.9,6,6,61,0.0,1016,22,10,6
2010-02-02,10.9,3,1,47,0.0,1017,23,10,9
2010-02-03,10.9,2,0,43,0.0,1017,23,10,10
2010-02-04,10.9,1,11,40,0.0,1017,24,10,11
2010-02-05,10.9,3,11,43,0.0,1017,25,10,12
2010-02-06,10.9,6,16,50,0.0,1016,26,10,8
2010-02-07,10.9,8,32,50,0.0,1016,27,10,7
2010-02-08,10.1,9,59,66,3.9,1010,20,10,21
2010-02-09,11.0,7,26,66,1.0,1009,22,10,18
2010-02-10,11.0,8,8,71,0.0,1016,21,10,9
2010-02-11,11.0,6,10,63,0.0,1018,21,10,9
2010-02-12,11.0,9,19,73,0.0,1017,21,10,10
2010-02-13,11.0,8,5,64,0.0,1016,23,10,8
2010-02-14,11.1,8,4,64,0.0,1013,22,10,5
2010-02-15,11.1,5,17,56,0.0,1013,22,10,14
2010-02-16,11.1,6,14,54,0.0,1015,24,10,9
2010-02-17,11.1,3,1,49,0.0,1017,23,10,13
2010-02-18,11.1,3,3,48,0.0,1015,24,10,12
2010-02-19,11.1,4,1,46,0.0,1016,25,10,10
2010-02-20,11.2,5,1,44,0.0,1016,27,10,11
2010-02-21,11.2,7,2,48,0.0,1014,28,10,11
2010-02-22,10.1,6,43,44,0.0,1013,28,10,9
2010-02-23,11.2,12,33,68,0.7,1011,24,10,10
2010-02-24,11.6,10,7,60,0.0,1010,27,10,10
2010-02-25,11.6,9,11,52,0.0,1012,28,10,10
2010-02-26,11.6,8,9,44,0.0,1013,30,10,10
2010-02-27,11.6,8,11,42,0.0,1011,31,10,11
2010-02-28,11.6,10,26,48,0.0,1010,31,10,10
2010-03-01,11.6,12,11,49,0.0,1011,32,10,7
2010-03-02,11.6,8,8,43,0.1,1011,31,10,12
2010-03-03,11.6,4,29,34,0.0,1008,31,10,10
2010-03-04,11.6,6,14,45,0.0,1009,29,10,10
2010-03-05,11.6,8,6,49,0.0,1010,30,10,10
2010-03-06,11.6,6,11,44,0.0,1010,28,10,13
2010-03-07,11.6,10,5,59,0.0,1014,28,10,12
2010-03-08,11.6,10,1,55,0.0,1014,29,10,11
2010-03-09,11.6,8,0,45,0.0,1015,30,10,9
2010-03-10,11.6,6,0,37,0.0,1015,32,10,11
2010-03-11,11.6,6,2,38,0.0,1016,31,10,9
2010-03-12,11.6,7,11,41,0.0,1016,32,10,7
2010-03-13,11.6,7,5,37,0.0,1012,33,10,10
2010-03-14,11.6,8,3,38,0.0,1008,34,10,9
2010-03-15,11.6,9,6,41,0.0,1009,34,10,7
2010-03-16,11.6,12,0,46,0.0,1011,35,10,6
2010-03-17,11.6,13,1,46,0.0,1015,35,10,7
2010-03-18,11.6,11,1,40,0.0,1016,35,10,6
2010-03-19,11.6,11,1,39,0.0,1012,37,10,9
2010-03-20,11.6,11,1,39,0.0,1009,38,10,7
2010-03-21,11.6,10,4,36,0.0,1007,40,10,6
2010-03-22,11.6,9,1,34,0.0,1002,39,10,7
2010-03-23,11.6,6,0,27,0.0,1000,39,10,6
2010-03-24,11.6,5,0,21,0.0,1003,40,10,6
2010-03-25,10.2,1,18,18,0.0,1004,39,10,9
2010-03-26,11.6,5,3,22,0.0,1005,38,10,8
2010-03-27,11.6,4,1,22,0.0,1007,38,10,10
2010-03-28,11.6,4,0,21,0.0,1006,39,10,9
2010-03-29,11.6,2,3,19,0.0,1005,40,10,9
2010-03-30,11.6,4,2,22,0.0,1002,38,10,11
2010-03-31,11.6,6,2,26,0.1,1003,38,10,9
2010-04-01,11.6,0,0,15,0.0,1004,38,10,9
2010-04-02,11.6,-2,12,14,0.0,1006,38,10,13
2010-04-03,11.6,5,1,22,0.0,1008,38,10,11
2010-04-04,11.6,-2,3,12,0.0,1008,38,10,11
2010-04-05,11.6,0,0,15,0.0,1009,39,10,12
2010-04-06,11.6,-1,0,15,0.0,1008,37,10,13
2010-04-07,11.6,-3,13,13,0.0,1009,39,10,10
2010-04-08,11.6,-4,13,11,0.0,1010,41,10,10
2010-04-09,11.6,-1,4,13,0.0,1005,41,10,13
2010-04-10,11.6,4,5,18,0.0,1002,41,10,10
2010-04-11,11.6,2,7,16,0.0,1001,42,10,7
2010-04-12,11.6,4,5,18,0.0,1003,41,10,11
2010-04-13,11.6,4,3,17,0.0,1004,41,10,15
2010-04-14,11.6,0,0,14,0.0,1005,43,10,12
2010-04-15,12.5,-2,1,11,0.0,1006,43,10,9
2010-04-16,13.0,-1,4,11,0.0,1005,44,10,10
2010-04-17,13.0,2,5,13,0.0,1002,45,10,8
2010-04-18,13.0,6,6,17,0.0,1000,44,10,7
