date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2011-01-01,8.7,10,1,76,0.0,1015,18,10,7
2011-01-02,8.7,9,1,78,0.0,1015,18,10,8
2011-01-03,8.7,8,1,75,0.0,1017,17,10,7
2011-01-04,8.7,4,7,66,0.0,1017,17,10,7
2011-01-05,8.7,0,0,49,0.0,1016,18,10,10
2011-01-06,8.7,1,3,51,0.0,1017,18,10,9
2011-01-07,8.7,2,1,57,0.0,1016,18,10,7
2011-01-08,8.7,5,2,68,0.0,1014,18,10,7
2011-01-09,8.7,4,0,60,0.0,1016,18,10,8
2011-01-10,8.7,3,1,57,0.0,1016,19,10,12
2011-01-11,8.7,3,5,55,0.0,1013,20,10,11
2011-01-12,8.7,4,10,57,0.0,1011,20,10,7
2011-01-13,8.7,6,8,63,0.0,1011,22,10,7
2011-01-14,8.7,6,9,62,0.0,1010,22,10,13
2011-01-15,8.7,9,17,84,0.0,1013,18,7,12
2011-01-16,8.7,3,8,64,0.0,1015,18,10,13
2011-01-17,8.7,1,24,52,0.0,1012,19,10,10
2011-01-18,8.7,3,3,55,0.0,1013,19,10,10
2011-01-19,8.7,3,17,57,0.0,1013,20,10,13
2011-01-20,8.7,4,22,62,0.0,1015,20,10,4
2011-01-21,8.7,4,11,54,0.0,1015,20,10,8
2011-01-22,8.7,4,9,51,0.0,1015,22,10,10
2011-01-23,8.7,4,1,53,0.0,1017,21,10,9
2011-01-24,8.7,4,0,55,0.0,1017,20,10,8
2011-01-25,8.7,4,0,58,0.0,1018,20,10,5
2011-01-26,8.7,4,2,54,0.0,1021,21,10,9
2011-01-27,8.5,2,37,55,0.0,1019,21,10,11
2011-01-28,10.8,3,23,55,0.0,1016,21,10,7
2011-01-29,7.0,5,50,59,0.1,1015,20,10,9
2011-01-30,10.8,6,10,58,0.0,1018,22,10,8
2011-01-31,10.8,7,2,64,0.0,1018,21,10,10
2011-02-01,10.9,8,2,63,0.0,1017,23,10,10
2011-02-02,10.9,7,3,59,0.0,1016,24,10,8
2011-02-03,10.9,8,8,59,0.0,1015,26,10,9
2011-02-04,10.9,9,14,60,0.0,1014,27,10,6
2011-02-05,10.9,10,9,62,0.0,1011,26,10,7
2011-02-06,10.1,10,53,56,0.0,1010,25,10,15
2011-02-07,10.9,12,25,73,3.0,1008,22,10,15
2011-02-08,11.0,12,0,78,0.0,1012,22,8,10
2011-02-09,11.0,7,10,61,0.0,1011,22,10,12
2011-02-10,11.0,3,22,47,0.0,1013,22,10,10
2011-02-11,10.1,3,24,45,0.0,1015,23,10,11
2011-02-12,10.1,6,44,47,0.0,1011,25,10,10
2011-02-13,10.1,10,51,70,0.0,1010,19,10,8
2011-02-14,11.1,13,32,85,0.0,1010,19,9,8
2011-02-15,7.0,13,70,94,0.0,1011,17,8,14
2011-02-16,10.1,12,36,87,0.1,1013,19,8,8
2011-02-17,11.1,9,4,73,0.3,1016,21,10,9
2011-02-18,10.1,6,31,60,0.0,1014,22,10,9
2011-02-19,11.1,7,14,63,0.0,1016,22,10,6
2011-02-20,10.1,8,35,73,0.0,1018,21,10,11
2011-02-21,11.2,10,2,77,0.0,1019,21,10,10
