date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2011-01-01,8.7,9,0,71,0.0,1016,20,10,4
2011-01-02,8.7,7,0,68,0.0,1015,20,10,5
2011-01-03,8.7,5,3,61,0.0,1018,19,10,3
2011-01-04,8.7,2,7,52,0.0,1017,19,10,5
2011-01-05,8.7,-1,0,41,0.0,1017,20,10,6
2011-01-06,8.7,-2,3,39,0.0,1018,20,10,6
2011-01-07,8.7,1,1,46,0.0,1016,21,10,4
2011-01-08,8.7,0,1,43,0.0,1014,20,10,5
2011-01-09,8.7,0,0,41,0.0,1016,20,10,7
2011-01-10,8.7,0,2,43,0.0,1016,21,10,8
2011-01-11,8.7,1,7,45,0.0,1013,22,10,6
2011-01-12,8.7,3,12,51,0.0,1012,22,10,4
2011-01-13,8.7,1,9,41,0.0,1011,23,10,9
2011-01-14,8.7,4,5,52,0.0,1010,23,10,12
2011-01-15,8.7,2,7,53,0.4,1014,20,10,13
2011-01-16,8.7,1,8,49,0.0,1017,19,10,10
2011-01-17,8.7,0,17,45,0.0,1013,20,10,5
2011-01-18,8.7,2,2,48,0.0,1014,21,10,9
2011-01-19,8.7,-1,18,43,0.0,1014,21,10,10
2011-01-20,8.7,1,21,45,0.0,1015,22,10,4
2011-01-21,10.7,1,18,38,0.0,1016,23,10,5
2011-01-22,10.7,1,14,41,0.0,1016,23,10,8
2011-01-23,10.7,6,0,54,0.0,1018,22,10,6
2011-01-24,10.7,4,0,52,0.0,1018,22,10,6
2011-01-25,10.8,1,1,43,0.0,1018,21,10,6
2011-01-26,10.8,0,5,40,0.0,1021,22,10,8
2011-01-27,10.8,3,25,56,0.0,1020,22,10,6
2011-01-28,10.8,1,12,48,0.0,1016,23,10,4
2011-01-29,10.1,1,43,42,0.2,1015,21,10,9
2011-01-30,10.8,3,11,49,0.0,1018,23,10,10
2011-01-31,10.8,6,4,56,0.0,1018,22,10,8
2011-02-01,10.9,7,5,58,0.0,1017,24,10,7
2011-02-02,10.9,7,3,55,0.0,1016,26,10,5
2011-02-03,10.9,7,13,50,0.0,1015,27,10,6
2011-02-04,10.9,8,21,53,0.0,1013,28,10,8
2011-02-05,10.9,9,13,56,0.0,1011,26,10,8
2011-02-06,10.1,8,43,51,0.0,1008,26,10,8
2011-02-07,10.9,9,18,60,2.0,1007,21,10,11
2011-02-08,11.0,8,2,66,0.0,1013,22,10,10
2011-02-09,11.0,5,19,50,0.0,1012,23,10,9
2011-02-10,11.0,3,28,47,0.0,1014,24,10,8
2011-02-11,10.1,2,31,39,0.0,1015,24,10,9
2011-02-12,8.6,3,54,38,0.0,1011,26,10,10
2011-02-13,10.1,10,58,71,0.1,1009,20,10,8
2011-02-14,11.1,12,16,80,1.8,1010,21,9,5
2011-02-15,11.1,12,30,84,1.6,1011,23,9,13
2011-02-16,11.1,10,42,77,0.2,1013,21,8,7
2011-02-17,11.1,8,13,64,0.1,1016,22,10,8
2011-02-18,11.1,7,27,57,0.0,1014,23,10,6
2011-02-19,11.1,7,24,51,0.0,1016,23,10,9
2011-02-20,10.1,9,45,73,2.3,1018,18,8,12
2011-02-21,11.2,10,9,74,0.0,1020,22,8,7
2011-02-22,11.2,7,40,57,0.0,1016,23,10,6
2011-02-23,11.2,9,25,64,0.0,1016,24,10,7
2011-02-24,11.2,9,8,69,0.2,1016,23,9,9
2011-02-25,11.2,10,23,67,0.2,1013,23,10,9
2011-02-26,11.3,9,18,70,0.0,1015,22,9,9
2011-02-27,10.1,5,33,41,0.1,1013,28,10,8
2011-02-28,11.3,6,26,53,0.0,1018,23,10,10
2011-03-01,11.3,9,29,65,0.0,1016,22,10,8
2011-03-02,11.3,11,37,76,0.0,1014,22,9,10
2011-03-03,8.7,7,42,48,0.1,1012,29,9,9
2011-03-04,8.7,7,49,46,0.1,1011,29,10,9
2011-03-05,8.7,9,58,49,0.6,1012,29,10,9
2011-03-06,10.2,8,28,48,0.0,1012,29,10,8
2011-03-07,11.6,8,28,52,0.0,1016,27,10,8
2011-03-08,11.6,11,10,60,0.1,1013,27,10,9
2011-03-09,11.6,8,7,54,0.0,1012,27,10,7
2011-03-10,11.6,9,3,54,0.0,1015,27,10,6
2011-03-11,11.6,7,0,47,0.0,1014,29,10,7
2011-03-12,11.6,9,3,51,0.0,1012,30,10,5
2011-03-13,11.6,9,0,43,0.0,1011,32,10,7
2011-03-14,11.6,11,0,47,0.0,1009,33,10,7
2011-03-15,11.6,12,13,51,0.0,1011,35,10,5
2011-03-16,11.6,11,7,46,0.0,1009,35,10,7
2011-03-17,10.2,9,43,38,0.0,1005,37,10,9
2011-03-18,11.6,10,23,40,0.0,1002,35,10,9
2011-03-19,11.6,6,21,36,0.0,999,34,10,10
2011-03-20,11.6,4,0,33,0.0,1004,33,10,9
2011-03-21,11.6,6,13,35,0.0,1007,33,10,7
2011-03-22,11.6,5,2,27,0.0,1008,34,10,8
2011-03-23,11.6,4,6,27,0.0,1008,36,10,7
2011-03-24,11.6,4,0,25,0.0,1009,34,10,7
2011-03-25,11.6,6,0,28,0.0,1009,35,10,7
2011-03-26,11.6,5,1,26,0.0,1008,37,10,10
2011-03-27,11.6,6,3,27,0.0,1007,38,10,8
2011-03-28,11.6,7,2,28,0.0,1004,37,10,14
2011-03-29,11.6,9,1,38,0.0,1007,35,10,11
2011-03-30,11.6,7,3,33,0.0,1010,34,10,10
2011-03-31,11.6,6,5,30,0.0,1009,34,10,9
2011-04-01,11.6,7,5,32,0.4,1008,33,10,8
2011-04-02,11.6,7,6,34,0.4,1008,35,10,9
2011-04-03,11.6,3,1,28,0.0,1011,32,10,8
2011-04-04,11.6,-2,3,19,0.0,1010,33,10,10
