date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2011-01-01,8.7,10,3,83,0.0,1015,18,10,5
2011-01-02,8.7,10,2,83,0.0,1014,18,9,7
2011-01-03,8.7,8,5,76,0.0,1017,17,10,7
2011-01-04,8.7,4,11,64,0.0,1017,17,10,8
2011-01-05,8.7,2,1,52,0.0,1017,17,10,9
2011-01-06,8.7,1,4,52,0.0,1017,18,10,7
2011-01-07,8.7,1,7,58,0.0,1016,18,10,5
2011-01-08,8.7,5,6,68,0.0,1015,18,10,4
2011-01-09,8.7,3,1,54,0.0,1016,19,10,9
2011-01-10,8.7,4,1,62,0.0,1016,18,10,9
2011-01-11,8.7,3,11,57,0.0,1013,19,10,9
2011-01-12,8.7,5,10,59,0.0,1012,19,10,7
2011-01-13,8.7,3,10,55,0.0,1013,21,10,6
2011-01-14,8.7,4,19,54,0.6,1011,21,10,13
2011-01-15,8.7,10,21,88,8.2,1015,16,8,8
2011-01-16,8.7,4,11,68,0.0,1016,17,10,10
2011-01-17,8.7,2,18,59,0.0,1013,16,10,10
2011-01-18,8.7,4,6,61,0.0,1014,19,10,9
2011-01-19,8.7,4,19,61,0.0,1013,19,10,10
2011-01-20,8.7,5,25,68,0.0,1015,19,10,4
2011-01-21,8.7,6,7,63,0.0,1016,20,10,7
2011-01-22,8.7,4,16,53,0.0,1016,21,10,9
2011-01-23,8.7,4,0,52,0.0,1018,20,10,8
2011-01-24,8.7,5,0,57,0.0,1018,20,10,6
2011-01-25,8.7,5,0,61,0.0,1018,19,10,4
2011-01-26,8.7,5,2,58,0.0,1021,20,10,7
2011-01-27,8.7,2,17,55,0.0,1019,20,10,9
2011-01-28,8.7,3,30,57,0.0,1017,20,10,6
2011-01-29,10.8,3,40,54,0.0,1016,19,10,6
2011-01-30,10.8,6,21,61,0.0,1019,21,10,6
2011-01-31,10.8,8,1,63,0.0,1018,21,10,9
2011-02-01,10.8,8,4,64,0.0,1017,22,10,9
2011-02-02,10.8,7,5,59,0.0,1016,24,10,8
2011-02-03,10.9,7,13,56,0.0,1016,25,10,9
2011-02-04,10.1,9,33,60,0.0,1015,24,10,6
2011-02-05,10.9,9,11,57,0.0,1013,26,10,7
2011-02-06,10.9,6,49,45,0.2,1010,23,10,14
2011-02-07,10.9,11,30,74,6.8,1009,19,9,16
2011-02-08,10.9,12,1,78,0.0,1013,21,9,9
2011-02-09,10.9,6,11,56,0.0,1012,22,10,11
2011-02-10,11.0,3,17,48,0.0,1014,22,10,10
2011-02-11,11.0,3,24,47,0.0,1016,22,10,10
2011-02-12,11.0,6,40,47,0.0,1012,25,10,11
2011-02-13,10.1,10,43,75,0.0,1011,16,10,9
2011-02-14,10.1,13,38,90,9.2,1011,19,8,9
2011-02-15,7.0,12,60,94,8.2,1012,14,8,10
2011-02-16,10.1,11,37,88,4.2,1014,18,9,7
2011-02-17,11.1,9,5,72,0.0,1016,20,10,7
2011-02-18,11.1,6,29,61,0.0,1015,21,10,8
2011-02-19,11.1,7,25,63,0.0,1017,22,10,4
2011-02-20,7.1,7,42,75,1.7,1019,18,8,11
2011-02-21,11.2,10,3,74,0.0,1019,21,10,8
2011-02-22,11.2,9,28,73,0.0,1016,21,10,6
2011-02-23,11.2,10,25,73,0.4,1017,20,10,7
2011-02-24,11.2,9,14,69,0.7,1016,21,10,8
2011-02-25,11.2,10,18,75,1.3,1014,21,10,10
2011-02-26,11.6,10,19,78,5.3,1016,20,9,7
2011-02-27,8.7,8,45,52,1.0,1014,26,10,8
2011-02-28,11.6,5,29,54,0.1,1018,21,10,12
2011-03-01,11.6,10,32,72,0.0,1016,22,10,9
2011-03-02,10.2,11,47,84,3.3,1014,19,9,11
2011-03-03,8.7,7,54,50,0.2,1013,27,10,9
2011-03-04,8.7,8,50,51,0.1,1012,27,10,8
2011-03-05,8.7,9,49,52,0.6,1013,27,10,9
2011-03-06,8.8,8,42,51,0.3,1013,28,10,8
2011-03-07,11.6,8,19,57,0.0,1016,24,10,11
2011-03-08,11.6,11,6,63,0.0,1014,25,10,11
2011-03-09,11.6,11,6,67,0.1,1013,25,10,6
2011-03-10,11.6,10,2,59,0.0,1016,25,10,6
2011-03-11,11.6,11,1,56,0.0,1015,26,10,9
2011-03-12,11.6,11,5,61,0.0,1013,27,10,7
2011-03-13,11.6,13,8,62,0.0,1012,28,10,9
2011-03-14,11.6,17,0,68,0.0,1011,30,10,6
2011-03-15,11.6,16,20,68,0.0,1012,31,10,5
2011-03-16,11.6,14,14,61,0.0,1010,31,10,8
2011-03-17,6.0,13,58,52,0.0,1007,33,10,8
2011-03-18,11.6,14,9,50,0.0,1005,33,10,10
2011-03-19,11.6,11,4,45,0.0,1002,33,10,15
