date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2011-01-01,11.6,21,17,74,0.0,1010,29,10,24
2011-01-02,11.6,21,18,74,0.0,1009,30,10,25
2011-01-03,11.6,21,12,73,0.0,1010,30,10,27
2011-01-04,11.6,20,9,72,0.0,1010,30,10,28
2011-01-05,11.6,20,1,71,0.0,1009,30,10,28
2011-01-06,11.6,20,7,72,0.0,1008,30,10,29
2011-01-07,11.6,20,4,70,0.0,1009,30,10,28
2011-01-08,11.6,20,4,71,0.0,1009,30,10,27
2011-01-09,11.6,22,18,76,0.0,1009,30,10,26
2011-01-10,11.6,22,17,77,0.0,1010,30,10,27
2011-01-11,11.6,22,11,77,0.0,1010,30,10,28
2011-01-12,10.2,21,22,75,0.0,1010,29,10,29
2011-01-13,11.6,21,17,74,0.0,1009,29,10,29
2011-01-14,11.6,21,12,75,0.0,1009,29,10,27
2011-01-15,11.6,21,3,73,0.0,1011,29,10,25
2011-01-16,11.6,22,21,77,0.0,1011,29,10,25
2011-01-17,11.6,21,18,76,0.0,1009,29,10,26
2011-01-18,10.2,21,27,76,0.0,1009,29,10,26
2011-01-19,11.6,21,23,76,0.0,1008,29,10,23
2011-01-20,11.6,22,21,76,0.0,1008,29,10,25
2011-01-21,11.6,22,20,77,0.0,1009,30,10,27
2011-01-22,11.6,23,34,78,0.1,1009,30,10,28
2011-01-23,11.6,22,38,75,0.1,1010,29,10,31
2011-01-24,11.6,20,13,71,0.0,1010,30,10,31
2011-01-25,11.6,20,12,69,0.0,1010,29,10,32
2011-01-26,11.6,21,6,71,0.0,1010,30,10,31
2011-01-27,11.6,21,13,72,0.0,1010,30,10,32
2011-01-28,11.6,22,15,75,0.0,1012,30,10,26
2011-01-29,11.6,23,20,77,0.0,1011,30,10,25
2011-01-30,11.6,22,15,78,0.0,1010,30,10,28
2011-01-31,11.6,22,23,77,0.0,1010,29,10,29
2011-02-01,11.6,21,21,76,0.0,1011,29,10,26
2011-02-02,10.2,21,27,77,0.0,1011,29,10,25
2011-02-03,11.6,21,1,74,0.0,1011,29,10,25
2011-02-04,11.6,20,12,71,0.0,1011,30,10,28
2011-02-05,11.6,20,5,71,0.0,1011,30,10,29
2011-02-06,11.6,20,1,70,0.0,1010,30,10,27
2011-02-07,11.6,19,0,65,0.0,1009,30,10,29
2011-02-08,11.6,19,0,65,0.0,1008,31,10,30
2011-02-09,11.6,20,0,68,0.0,1007,30,10,28
2011-02-10,11.6,21,3,75,0.0,1007,29,10,26
2011-02-11,11.6,21,2,74,0.0,1007,30,10,26
2011-02-12,11.6,21,16,76,0.0,1008,30,10,26
2011-02-13,11.6,21,10,74,0.0,1008,30,10,27
2011-02-14,11.6,21,7,72,0.0,1008,29,10,26
2011-02-15,11.6,21,12,73,0.0,1008,30,10,31
2011-02-16,10.2,21,21,74,0.0,1009,30,10,31
2011-02-17,11.6,21,16,74,0.0,1009,30,10,31
2011-02-18,11.6,21,7,71,0.0,1009,30,10,31
2011-02-19,11.6,21,16,74,0.0,1010,29,10,30
2011-02-20,11.6,22,20,76,0.0,1011,30,10,28
2011-02-21,11.6,22,18,77,0.0,1010,30,10,26
2011-02-22,11.6,22,22,77,0.0,1010,29,10,25
2011-02-23,10.2,21,27,77,0.0,1012,29,10,23
2011-02-24,11.6,21,13,76,0.0,1011,29,10,26
2011-02-25,11.6,21,20,77,0.0,1009,29,10,26
2011-02-26,10.2,22,23,77,0.0,1009,29,10,26
2011-02-27,7.4,22,53,74,0.0,1010,30,10,26
2011-02-28,10.2,22,40,79,0.1,1010,29,10,25
2011-03-01,10.2,22,35,78,0.1,1009,29,10,23
2011-03-02,11.6,22,23,79,0.0,1009,29,10,23
2011-03-03,11.6,22,27,75,0.0,1010,30,10,23
2011-03-04,8.8,22,52,75,0.0,1010,30,10,24
2011-03-05,8.8,22,47,74,0.0,1010,30,10,24
2011-03-06,8.8,23,46,74,0.1,1010,30,10,26
2011-03-07,11.6,21,29,74,0.0,1011,29,10,24
2011-03-08,11.6,22,26,75,0.0,1011,30,10,28
2011-03-09,11.6,22,12,74,0.0,1010,31,10,30
2011-03-10,11.6,22,19,77,0.0,1010,30,10,26
2011-03-11,10.2,23,34,79,0.0,1010,30,10,23
2011-03-12,8.8,23,47,82,0.1,1009,29,10,22
2011-03-13,11.6,23,27,80,0.0,1009,30,10,24
2011-03-14,10.2,22,32,79,0.0,1009,29,10,24
2011-03-15,11.6,22,29,75,0.0,1009,30,10,23
2011-03-16,11.6,22,25,77,0.0,1008,30,10,25
2011-03-17,11.6,21,14,73,0.0,1009,30,10,25
2011-03-18,11.6,22,16,74,0.0,1008,30,10,23
2011-03-19,11.6,21,9,72,0.0,1008,30,10,24
2011-03-20,11.6,21,6,72,0.0,1008,30,10,25
2011-03-21,11.6,22,9,74,0.0,1009,30,10,23
2011-03-22,11.6,22,16,76,0.0,1009,30,10,20
2011-03-23,10.2,23,40,78,0.1,1009,30,10,21
2011-03-24,10.2,23,40,79,0.2,1010,30,10,21
2011-03-25,11.6,23,26,79,0.0,1010,30,10,24
2011-03-26,10.2,23,39,80,0.1,1010,29,10,22
2011-03-27,11.7,23,33,80,0.0,1011,30,10,22
2011-03-28,12.1,23,34,79,0.0,1011,30,10,20
2011-03-29,11.7,23,37,78,0.0,1010,30,10,20
2011-03-30,11.8,23,40,77,0.0,1010,30,10,20
2011-03-31,12.5,23,23,75,0.0,1010,31,10,22
2011-04-01,12.5,23,36,74,0.0,1011,31,10,23
2011-04-02,12.5,23,20,73,0.0,1011,30,10,22
2011-04-03,12.5,23,30,75,0.0,1010,31,10,23
2011-04-04,12.5,23,26,75,0.0,1010,31,10,25
2011-04-05,12.5,23,17,74,0.0,1010,31,10,25
2011-04-06,12.5,23,25,76,0.0,1009,31,10,23
2011-04-07,12.5,23,11,74,0.0,1009,30,10,22
2011-04-08,11.8,23,33,76,0.0,1010,30,10,19
2011-04-09,12.5,23,15,75,0.0,1011,31,10,18
2011-04-10,12.5,23,26,76,0.0,1011,30,10,18
2011-04-11,12.5,23,29,77,0.0,1010,30,10,17
2011-04-12,12.5,23,28,77,0.0,1010,30,10,18
2011-04-13,10.5,24,54,80,0.3,1010,30,10,18
2011-04-14,12.5,24,38,78,0.8,1010,30,10,20
2011-04-15,12.5,23,24,76,0.0,1009,30,10,18
2011-04-16,12.5,23,18,76,0.0,1010,30,10,18
2011-04-17,12.5,23,28,77,0.0,1011,30,10,18
2011-04-18,12.5,23,31,77,0.0,1011,31,10,16
2011-04-19,12.5,23,35,78,0.0,1009,31,10,16
2011-04-20,12.5,23,25,76,0.0,1009,31,10,15
2011-04-21,12.5,23,23,76,0.0,1009,31,10,15
2011-04-22,12.5,23,25,77,0.0,1009,31,10,15
2011-04-23,12.5,24,38,78,0.0,1008,31,10,16
2011-04-24,12.5,24,23,76,0.6,1009,31,10,18
2011-04-25,12.5,24,23,77,0.7,1009,31,10,17
2011-04-26,12.5,24,24,75,0.1,1009,31,10,17
2011-04-27,12.5,24,24,74,0.0,1009,31,10,17
2011-04-28,12.5,23,42,76,1.4,1010,30,10,16
2011-04-29,12.5,23,31,74,0.2,1009,30,10,19
2011-04-30,12.5,24,37,77,2.0,1009,30,10,20
2011-05-01,12.5,24,24,76,0.7,1010,31,10,20
2011-05-02,12.5,23,24,75,4.0,1011,30,9,17
2011-05-03,12.5,24,29,76,3.6,1011,31,10,16
2011-05-04,12.5,24,25,78,6.6,1011,30,9,17
2011-05-05,12.5,24,40,79,3.1,1011,30,10,15
2011-05-06,12.5,24,28,76,2.8,1011,31,10,15
2011-05-07,12.5,24,29,79,2.4,1011,30,10,15
2011-05-08,12.5,24,22,78,0.2,1010,30,10,15
2011-05-09,12.5,24,35,77,0.6,1010,30,10,18
2011-05-10,12.5,24,38,76,1.0,1010,30,10,20
2011-05-11,12.5,23,35,73,0.3,1010,31,10,22
2011-05-12,12.5,23,25,73,0.4,1010,30,10,22
2011-05-13,12.5,23,23,74,1.3,1010,30,10,24
2011-05-14,12.5,23,34,74,0.2,1010,30,10,25
2011-05-15,12.5,23,32,75,1.2,1009,30,10,23
2011-05-16,12.5,23,27,73,0.0,1010,30,10,19
2011-05-17,12.5,23,16,75,0.0,1011,30,10,19
2011-05-18,12.5,23,40,76,1.5,1011,30,10,21
2011-05-19,11.8,23,44,73,1.4,1011,30,10,19
2011-05-20,12.5,22,49,73,1.2,1011,29,10,19
2011-05-21,12.5,22,24,71,0.0,1011,30,10,21
2011-05-22,12.5,22,22,73,0.2,1011,29,10,22
2011-05-23,12.5,23,28,75,0.2,1012,30,10,19
2011-05-24,12.5,23,33,77,1.6,1012,30,10,18
2011-05-25,12.5,23,26,74,2.7,1011,30,10,18
2011-05-26,11.8,23,39,76,1.1,1012,29,10,23
2011-05-27,12.5,23,31,78,0.2,1012,29,10,23
2011-05-28,12.5,23,35,77,0.3,1012,30,10,25
2011-05-29,10.5,23,61,78,0.9,1012,29,10,23
2011-05-30,10.5,23,58,79,2.1,1012,29,10,23
2011-05-31,12.5,23,17,74,0.2,1012,29,10,27
2011-06-01,12.5,22,14,72,0.1,1012,30,10,29
2011-06-02,12.5,23,27,75,0.0,1012,29,10,29
2011-06-03,12.5,22,25,72,0.4,1012,29,10,29
2011-06-04,12.5,22,24,73,0.1,1012,30,10,26
2011-06-05,12.5,22,26,73,0.8,1011,29,10,29
2011-06-06,12.5,22,36,71,0.2,1011,29,10,29
2011-06-07,12.5,23,30,73,0.3,1012,29,10,29
2011-06-08,12.5,22,21,71,0.1,1012,30,10,29
2011-06-09,12.5,22,43,73,0.5,1011,29,10,29
2011-06-10,12.5,22,43,72,0.3,1011,29,10,28
2011-06-11,12.5,22,24,72,0.5,1011,30,10,26
2011-06-12,12.5,22,22,69,0.1,1012,30,10,31
2011-06-13,12.6,22,39,71,0.2,1013,29,10,29
2011-06-14,12.5,22,35,73,1.6,1013,29,10,30
2011-06-15,12.5,22,35,72,0.2,1013,29,10,28
