date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2011-01-01,8.7,8,0,73,0.0,1016,19,10,5
2011-01-02,8.7,7,0,71,0.0,1015,20,10,7
2011-01-03,8.7,5,2,63,0.0,1018,19,10,4
2011-01-04,8.7,2,8,56,0.0,1017,18,10,5
2011-01-05,8.7,-3,0,40,0.0,1016,19,10,7
2011-01-06,8.7,-4,4,38,0.0,1018,20,10,7
2011-01-07,8.7,-2,1,43,0.0,1015,20,10,5
2011-01-08,8.7,0,2,50,0.0,1014,19,10,5
2011-01-09,8.7,-1,0,44,0.0,1016,19,10,8
2011-01-10,8.7,0,2,45,0.0,1016,21,10,9
2011-01-11,8.7,1,6,48,0.0,1013,21,10,7
2011-01-12,8.7,2,12,50,0.0,1012,21,10,5
2011-01-13,8.7,2,11,44,0.0,1011,23,10,9
2011-01-14,8.7,4,7,53,0.0,1010,23,10,12
2011-01-15,8.7,4,6,64,0.0,1014,19,10,12
2011-01-16,8.7,0,9,50,0.0,1016,19,10,11
2011-01-17,8.7,0,18,45,0.0,1013,20,10,7
2011-01-18,8.7,1,3,47,0.0,1013,20,10,9
2011-01-19,8.7,0,26,45,0.0,1013,21,10,10
2011-01-20,8.7,1,20,45,0.0,1015,22,10,4
2011-01-21,8.7,0,15,39,0.0,1015,22,10,6
2011-01-22,8.7,1,14,41,0.0,1015,23,10,8
2011-01-23,10.7,3,0,53,0.0,1017,22,10,7
2011-01-24,10.7,3,0,53,0.0,1017,22,10,6
2011-01-25,10.8,0,1,44,0.0,1018,21,10,6
2011-01-26,10.8,0,3,44,0.0,1021,21,10,7
2011-01-27,10.0,2,26,55,0.0,1019,22,10,7
2011-01-28,10.8,1,25,47,0.0,1016,22,10,5
2011-01-29,8.5,2,50,47,0.2,1015,21,9,9
2011-01-30,10.8,3,12,49,0.0,1018,23,10,9
2011-01-31,10.8,5,3,57,0.0,1018,22,10,8
2011-02-01,10.8,6,4,58,0.0,1017,24,10,8
2011-02-02,10.9,6,4,55,0.0,1016,25,10,6
2011-02-03,10.9,7,8,53,0.0,1015,27,10,7
2011-02-04,10.9,8,25,54,0.0,1013,27,10,8
2011-02-05,10.9,8,16,56,0.0,1011,26,10,8
2011-02-06,10.1,9,51,55,0.0,1008,25,10,9
2011-02-07,10.9,10,24,62,0.0,1007,21,10,12
2011-02-08,11.0,8,2,69,0.0,1012,22,10,10
2011-02-09,11.0,4,13,50,0.0,1012,23,10,9
2011-02-10,11.0,2,26,45,0.0,1014,23,10,8
2011-02-11,8.5,2,29,39,0.0,1015,24,10,9
2011-02-12,8.6,3,49,39,0.0,1011,26,10,10
2011-02-13,10.1,10,52,72,0.2,1009,19,9,8
2011-02-14,11.1,12,29,84,0.0,1010,20,10,6
2011-02-15,10.1,12,55,89,0.8,1011,20,7,12
2011-02-16,11.1,10,45,80,0.0,1013,21,8,7
2011-02-17,11.1,7,11,65,0.0,1016,22,10,9
2011-02-18,8.6,6,30,56,0.0,1014,22,10,7
2011-02-19,11.1,6,26,53,0.0,1016,23,10,7
2011-02-20,10.1,8,37,74,0.2,1018,18,9,11
2011-02-21,11.2,8,6,75,0.0,1019,22,8,8
2011-02-22,8.6,7,50,60,0.0,1016,23,10,7
2011-02-23,11.2,10,35,68,0.0,1016,23,9,7
2011-02-24,11.2,8,9,69,0.0,1015,23,10,9
2011-02-25,11.2,10,24,70,1.0,1013,21,10,9
2011-02-26,11.3,9,29,73,0.0,1015,21,9,8
2011-02-27,11.3,4,17,43,0.0,1013,28,10,8
2011-02-28,10.1,5,31,53,0.0,1017,23,10,11
2011-03-01,11.6,9,30,67,0.0,1016,22,10,8
2011-03-02,10.2,11,42,77,0.0,1013,22,9,10
2011-03-03,8.7,7,35,50,0.2,1012,29,9,8
2011-03-04,10.2,7,41,49,0.0,1011,29,10,9
2011-03-05,8.7,8,54,51,0.1,1012,29,10,9
2011-03-06,11.6,7,9,50,0.0,1012,28,10,8
2011-03-07,11.6,7,27,51,0.0,1016,27,10,9
2011-03-08,11.6,10,9,60,0.0,1013,27,10,9
2011-03-09,11.6,8,14,56,0.0,1012,27,10,8
2011-03-10,11.6,9,3,58,0.0,1015,26,10,6
2011-03-11,11.6,6,0,49,0.0,1014,29,10,8
2011-03-12,11.6,7,3,50,0.0,1012,29,10,6
2011-03-13,11.6,8,1,49,0.0,1011,31,10,8
2011-03-14,11.6,11,0,51,0.0,1009,32,10,6
2011-03-15,11.6,13,14,57,0.0,1010,35,10,5
2011-03-16,11.6,12,8,51,0.0,1009,34,10,7
2011-03-17,7.4,10,57,43,0.0,1005,36,10,7
2011-03-18,11.6,10,28,42,0.0,1002,36,10,9
2011-03-19,11.6,8,28,43,0.0,999,35,10,9
2011-03-20,11.6,4,0,36,0.0,1004,33,10,9
2011-03-21,11.6,4,15,35,0.0,1007,32,10,8
2011-03-22,11.6,4,2,29,0.0,1007,33,10,8
2011-03-23,11.6,4,5,28,0.0,1008,36,10,7
2011-03-24,11.6,2,0,26,0.0,1009,34,10,7
2011-03-25,11.6,5,0,33,0.0,1009,35,10,8
2011-03-26,11.6,6,2,32,0.0,1008,37,10,9
2011-03-27,11.6,7,2,30,0.0,1007,38,10,7
2011-03-28,11.6,6,2,30,0.0,1003,38,10,15
2011-03-29,11.6,8,1,38,0.0,1007,35,10,10
2011-03-30,11.6,6,3,34,0.0,1009,34,10,10
2011-03-31,11.6,5,6,31,0.0,1009,34,10,10
2011-04-01,11.6,5,6,30,0.0,1007,34,10,8
2011-04-02,11.6,5,7,30,0.1,1008,34,10,8
2011-04-03,11.6,2,2,29,0.0,1011,32,10,9
2011-04-04,11.6,-2,3,21,0.0,1010,33,10,8
2011-04-05,11.6,-3,5,19,0.0,1010,34,10,10
