date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2012-01-01,8.7,4,3,55,0.0,1017,21,10,6
2012-01-02,8.7,-1,21,39,0.0,1017,20,10,5
2012-01-03,8.7,1,4,44,0.0,1015,21,10,6
2012-01-04,8.7,2,23,45,0.0,1014,20,10,7
2012-01-05,8.7,6,18,62,0.0,1016,20,10,7
2012-01-06,8.7,7,16,65,2.8,1014,20,10,13
2012-01-07,8.7,2,38,49,0.1,1016,21,10,7
2012-01-08,8.7,6,1,71,0.0,1020,17,10,8
2012-01-09,7.1,2,48,49,0.3,1017,20,10,8
2012-01-10,8.7,3,2,61,0.0,1021,17,10,7
2012-01-11,8.7,3,0,60,0.0,1021,17,10,6
2012-01-12,8.7,3,0,58,0.0,1019,18,10,8
2012-01-13,8.7,3,6,61,0.0,1019,19,10,5
2012-01-14,8.7,3,17,56,0.0,1015,20,10,5
2012-01-15,7.1,7,44,66,1.2,1011,19,9,12
2012-01-16,8.7,10,18,85,0.8,1010,18,9,7
2012-01-17,8.7,9,4,81,0.0,1011,18,10,6
2012-01-18,8.7,7,13,75,0.2,1011,17,10,6
2012-01-19,8.7,6,7,75,0.0,1013,16,10,6
2012-01-20,8.7,5,3,72,0.0,1017,16,10,9
2012-01-21,8.7,0,21,54,0.0,1017,16,10,9
2012-01-22,8.7,1,19,56,0.0,1016,16,10,6
2012-01-23,8.7,2,0,56,0.0,1017,19,10,12
2012-01-24,8.7,4,8,66,0.0,1017,18,10,9
2012-01-25,10.7,4,18,64,0.0,1016,18,10,6
2012-01-26,10.8,5,3,64,0.0,1017,18,10,7
2012-01-27,10.8,3,20,57,0.0,1016,19,10,9
2012-01-28,10.8,4,2,59,0.0,1016,19,10,8
2012-01-29,10.8,3,0,55,0.0,1018,20,10,10
2012-01-30,10.8,4,1,59,0.0,1018,19,10,6
2012-01-31,10.8,4,18,62,0.0,1019,19,10,6
2012-02-01,10.8,3,13,56,0.0,1020,20,10,9
2012-02-02,10.8,4,24,55,0.0,1018,21,10,7
2012-02-03,10.9,7,45,64,0.3,1018,19,9,10
2012-02-04,10.1,9,44,76,0.2,1013,16,10,11
2012-02-05,10.9,9,12,79,0.7,1016,20,9,10
2012-02-06,10.9,6,1,67,0.0,1017,20,10,13
2012-02-07,10.9,2,0,59,0.0,1015,17,10,9
2012-02-08,10.9,-1,0,52,0.0,1016,16,10,9
2012-02-09,11.0,2,2,60,0.0,1018,18,10,8
2012-02-10,11.0,2,1,57,0.0,1016,19,10,8
2012-02-11,7.0,5,42,68,0.2,1016,15,10,5
2012-02-12,11.0,8,23,73,0.1,1014,20,10,11
2012-02-13,11.0,10,16,75,0.2,1012,21,9,12
2012-02-14,11.0,8,19,77,0.0,1017,19,9,10
2012-02-15,11.1,3,4,62,0.0,1015,18,10,11
2012-02-16,11.1,3,9,58,0.0,1016,19,10,8
2012-02-17,10.1,2,35,52,0.0,1018,19,10,9
2012-02-18,11.1,3,12,52,0.0,1017,21,10,10
2012-02-19,11.1,5,14,59,0.0,1016,21,10,10
2012-02-20,11.1,9,20,73,0.0,1013,20,10,8
2012-02-21,11.2,12,8,79,0.0,1009,24,10,8
2012-02-22,11.2,12,5,75,0.0,1010,23,10,7
2012-02-23,11.2,4,8,53,0.0,1012,21,10,12
2012-02-24,11.2,-1,6,43,0.0,1014,20,10,12
2012-02-25,11.2,2,13,48,0.0,1014,21,10,9
2012-02-26,11.3,4,2,52,0.0,1013,22,10,12
2012-02-27,11.3,4,10,50,0.0,1010,23,10,10
2012-02-28,11.3,7,2,59,0.0,1007,24,10,10
2012-02-29,11.6,10,1,61,0.0,1006,25,10,5
2012-03-01,11.6,10,1,62,0.0,1008,24,10,7
2012-03-02,11.6,7,2,54,0.0,1008,24,10,8
2012-03-03,11.6,9,4,58,0.0,1007,25,10,6
2012-03-04,11.6,12,19,60,0.1,1005,28,10,13
2012-03-05,11.6,14,5,69,0.0,1005,27,10,12
2012-03-06,11.6,13,2,72,0.0,1007,26,9,7
2012-03-07,11.6,6,0,51,0.0,1004,25,10,13
2012-03-08,11.6,6,1,53,0.0,1007,24,10,9
2012-03-09,11.6,6,2,58,0.0,1011,22,10,6
2012-03-10,11.6,6,7,52,0.0,1013,24,10,9
2012-03-11,11.6,5,8,48,0.0,1013,24,10,9
2012-03-12,11.6,7,15,51,0.0,1012,26,10,12
2012-03-13,11.6,8,12,61,0.0,1016,23,10,9
2012-03-14,11.6,9,17,67,0.0,1017,22,10,7
2012-03-15,11.6,11,3,67,0.0,1014,26,10,8
2012-03-16,11.6,12,7,61,0.0,1011,28,10,6
2012-03-17,11.6,12,4,58,0.0,1009,30,10,7
2012-03-18,11.6,13,3,55,0.0,1009,32,10,6
2012-03-19,11.6,14,2,53,0.0,1006,34,10,11
2012-03-20,11.6,2,2,34,0.0,1008,25,10,11
2012-03-21,11.6,0,0,34,0.0,1013,25,10,12
2012-03-22,11.6,2,6,36,0.0,1013,28,10,11
2012-03-23,11.6,4,8,35,0.0,1013,29,10,10
2012-03-24,11.6,7,6,39,0.0,1012,31,10,9
2012-03-25,11.6,7,18,35,0.0,1011,33,10,10
2012-03-26,11.6,10,14,43,0.0,1011,32,10,12
2012-03-27,11.6,8,18,38,0.0,1012,32,10,11
2012-03-28,11.6,9,8,43,0.1,1015,31,10,13
2012-03-29,11.6,9,6,41,0.0,1011,32,10,12
2012-03-30,11.6,12,2,44,0.0,1007,35,10,6
2012-03-31,11.6,10,7,34,0.0,1009,35,10,8
2012-04-01,11.6,9,15,32,0.0,1010,36,10,9
2012-04-02,11.6,10,6,33,0.0,1010,36,10,8
2012-04-03,11.6,9,13,30,0.0,1011,37,10,8
2012-04-04,11.6,9,4,30,0.0,1009,37,10,8
2012-04-05,11.6,8,11,27,0.5,1006,37,10,9
2012-04-06,11.6,7,12,25,0.0,1005,37,10,7
2012-04-07,11.6,6,9,24,0.0,1005,37,10,8
2012-04-08,11.6,8,10,27,0.0,1006,36,10,8
2012-04-09,11.6,11,17,35,3.6,1006,36,10,8
2012-04-10,11.6,13,19,39,1.2,1005,36,10,10
2012-04-11,11.6,12,14,43,1.9,1005,35,10,9
2012-04-12,11.6,11,9,38,0.2,1005,34,10,8
2012-04-13,11.6,10,14,39,4.7,1006,33,10,11
2012-04-14,11.6,7,36,30,0.0,1009,32,10,9
2012-04-15,11.6,8,10,30,0.0,1009,33,10,7
2012-04-16,11.6,12,12,38,1.1,1007,34,10,9
2012-04-17,11.6,15,17,48,2.5,1006,32,10,7
2012-04-18,13.0,13,12,38,0.0,1005,34,10,5
2012-04-19,13.4,12,15,33,0.3,1006,36,10,8
2012-04-20,13.4,11,22,32,0.7,1008,36,10,10
2012-04-21,13.5,11,8,34,0.0,1009,34,10,9
2012-04-22,13.5,10,28,33,0.0,1005,33,10,7
2012-04-23,13.5,11,15,36,0.2,1005,34,10,8
2012-04-24,13.5,12,31,36,1.1,1006,35,10,8
2012-04-25,13.5,12,20,36,2.0,1007,34,10,7
2012-04-26,13.5,12,21,36,0.6,1008,35,10,7
2012-04-27,13.6,12,23,35,0.2,1006,34,10,7
2012-04-28,13.6,10,9,32,0.7,1003,36,10,6
2012-04-29,13.6,11,11,35,0.4,1003,35,10,10
2012-04-30,13.6,9,3,30,0.2,1003,34,10,6
2012-05-01,13.6,7,14,26,0.9,1005,35,10,9
2012-05-02,13.6,5,7,22,0.0,1006,35,10,10
2012-05-03,13.7,5,7,20,0.1,1004,36,10,8
2012-05-04,13.7,4,0,16,0.0,1002,39,10,7
2012-05-05,13.3,4,13,16,0.0,1003,40,10,8
2012-05-06,13.7,8,14,21,0.0,1004,40,10,9
2012-05-07,13.7,11,6,26,0.8,1003,39,10,9
2012-05-08,13.7,11,6,25,1.0,1004,40,10,9
2012-05-09,13.7,9,3,21,0.0,1004,41,10,8
2012-05-10,13.8,9,9,19,0.0,1004,42,10,9
2012-05-11,13.8,11,10,23,0.5,1002,41,10,6
2012-05-12,13.8,10,2,24,0.3,1001,41,10,8
2012-05-13,13.8,7,3,19,0.1,1003,41,10,9
2012-05-14,13.8,7,3,20,0.5,1002,39,10,10
2012-05-15,13.8,7,2,17,0.0,1002,42,10,7
2012-05-16,13.8,7,11,17,0.0,999,43,10,7
2012-05-17,13.9,8,13,18,0.3,999,41,10,7
2012-05-18,13.9,6,8,17,0.1,1002,41,10,10
2012-05-19,13.9,5,0,14,0.0,1003,42,10,9
2012-05-20,13.9,4,5,14,0.6,1002,42,10,10
2012-05-21,13.9,5,3,16,0.0,1001,41,10,12
2012-05-22,13.9,3,0,14,0.0,1002,41,10,11
2012-05-23,13.9,3,0,13,0.0,1001,41,10,9
2012-05-24,13.9,2,0,12,0.0,999,43,10,10
2012-05-25,13.9,5,1,13,0.0,997,44,10,9
2012-05-26,14.0,6,2,15,0.0,999,42,10,12
2012-05-27,14.0,4,0,14,0.0,1000,42,10,10
2012-05-28,14.0,4,0,13,0.0,999,43,10,9
2012-05-29,14.0,3,0,11,0.0,999,45,10,9
2012-05-30,14.0,2,0,10,0.0,996,46,10,8
2012-05-31,14.0,2,4,9,0.0,994,47,10,8
2012-06-01,14.0,6,4,13,0.0,994,47,10,6
2012-06-02,14.0,5,0,12,0.0,994,46,10,8
2012-06-03,14.0,5,0,12,0.0,993,46,10,7
2012-06-04,14.0,7,4,14,0.1,994,45,10,8
2012-06-05,14.0,12,18,22,0.3,995,44,10,12
2012-06-06,14.0,13,26,24,0.3,997,41,10,7
2012-06-07,14.0,11,9,23,0.1,998,41,10,5
2012-06-08,14.1,11,9,22,0.1,999,41,10,7
2012-06-09,14.1,10,7,20,0.0,998,42,10,8
2012-06-10,14.1,10,4,18,0.1,996,43,10,6
2012-06-11,14.1,9,3,17,0.0,996,43,10,8
2012-06-12,14.1,9,3,16,0.0,997,44,10,6
2012-06-13,14.1,7,4,15,0.0,998,44,10,10
2012-06-14,14.1,7,0,14,0.0,998,44,10,9
2012-06-15,14.1,6,0,13,0.0,996,45,10,7
2012-06-16,14.1,9,0,17,0.0,993,45,10,9
2012-06-17,14.1,7,3,14,0.0,992,46,10,10
2012-06-18,14.1,7,12,14,0.0,993,45,10,7
2012-06-19,14.1,7,2,15,0.1,994,44,10,11
2012-06-20,14.1,9,1,15,0.0,992,45,10,8
2012-06-21,14.1,9,0,15,0.0,992,46,10,10
2012-06-22,14.1,12,1,19,0.0,993,47,10,11
2012-06-23,14.1,13,2,21,0.0,992,46,10,11
2012-06-24,14.1,10,11,18,0.0,991,46,10,11
2012-06-25,14.1,12,13,20,0.0,993,44,10,7
2012-06-26,14.1,13,6,22,0.0,993,43,10,6
