date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2012-01-01,8.7,8,2,62,0.0,1016,21,10,8
2012-01-02,8.7,2,15,46,0.0,1017,20,10,7
2012-01-03,8.7,3,7,46,0.0,1015,21,10,7
2012-01-04,8.7,4,21,52,0.0,1015,20,10,7
2012-01-05,8.7,6,17,60,0.0,1016,20,10,6
2012-01-06,8.7,6,17,61,0.0,1014,20,10,15
2012-01-07,8.7,2,20,47,0.0,1016,21,10,8
2012-01-08,8.7,6,7,68,0.0,1020,18,10,6
2012-01-09,7.1,2,38,48,0.3,1017,20,10,9
2012-01-10,8.7,4,1,61,0.0,1020,17,10,9
2012-01-11,8.7,4,0,64,0.0,1020,17,10,7
2012-01-12,8.7,3,0,56,0.0,1019,18,10,10
2012-01-13,8.7,3,3,59,0.0,1019,19,10,8
2012-01-14,8.7,3,15,52,0.0,1016,21,10,7
2012-01-15,5.5,6,55,60,0.0,1011,21,10,14
2012-01-16,8.7,10,9,77,0.0,1009,19,10,11
2012-01-17,8.7,8,7,80,0.0,1011,18,10,6
2012-01-18,8.7,8,12,77,0.0,1011,18,10,6
2012-01-19,8.7,5,6,71,0.0,1013,17,10,6
2012-01-20,8.7,4,2,70,0.0,1017,17,10,10
2012-01-21,8.7,1,17,59,0.0,1018,17,10,10
2012-01-22,8.7,1,22,52,0.0,1017,17,10,7
2012-01-23,8.7,4,0,59,0.0,1017,20,10,11
2012-01-24,8.7,3,12,60,0.0,1016,19,10,10
2012-01-25,8.7,4,23,63,0.0,1016,18,10,7
2012-01-26,10.8,5,2,65,0.0,1017,19,10,9
2012-01-27,10.8,3,14,58,0.0,1016,20,10,9
2012-01-28,10.8,5,0,61,0.0,1016,19,10,9
2012-01-29,10.8,4,0,59,0.0,1018,20,10,11
2012-01-30,10.8,5,0,60,0.0,1018,19,10,7
2012-01-31,10.8,4,13,61,0.0,1019,19,10,8
2012-02-01,10.9,4,10,56,0.0,1020,21,10,11
2012-02-02,10.9,4,21,56,0.0,1019,21,10,8
2012-02-03,10.9,6,44,57,0.0,1018,21,10,11
2012-02-04,10.9,9,39,70,0.0,1013,21,10,10
2012-02-05,10.9,10,4,78,0.6,1016,20,9,10
2012-02-06,10.9,7,0,71,0.0,1016,20,10,14
2012-02-07,10.9,2,8,58,0.0,1015,18,10,9
2012-02-08,11.0,0,8,51,0.0,1015,16,10,12
2012-02-09,11.0,2,1,57,0.0,1018,18,10,9
2012-02-10,11.0,3,1,60,0.0,1016,19,10,9
2012-02-11,10.1,5,41,63,0.1,1016,18,10,8
2012-02-12,11.0,7,9,67,0.0,1013,21,10,13
2012-02-13,11.0,8,14,65,0.0,1012,22,10,11
