date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2013-01-01,7.1,1,28,52,0.0,1014,18,10,5
2013-01-02,8.7,1,0,47,0.0,1015,18,10,6
2013-01-03,8.7,1,7,50,0.0,1016,18,10,4
2013-01-04,8.7,-2,3,38,0.0,1016,18,10,8
2013-01-05,8.7,1,0,50,0.0,1015,17,10,4
2013-01-06,8.7,3,0,58,0.0,1017,17,10,3
2013-01-07,8.7,-2,0,40,0.0,1018,17,10,9
2013-01-08,8.7,-7,11,30,0.0,1017,18,10,11
2013-01-09,8.7,-2,10,36,0.0,1017,20,10,11
2013-01-10,8.7,0,3,43,0.0,1015,20,10,12
2013-01-11,8.7,0,18,42,0.0,1014,22,10,9
2013-01-12,8.7,4,27,50,0.0,1015,23,10,5
2013-01-13,8.7,8,6,61,0.0,1014,22,10,8
2013-01-14,7.1,4,15,54,0.0,1014,21,10,6
2013-01-15,8.7,7,1,63,0.0,1015,20,10,4
2013-01-16,8.7,9,7,72,0.2,1017,21,10,6
2013-01-17,8.7,9,16,75,3.9,1015,21,10,12
2013-01-18,5.5,10,64,94,7.8,1014,14,7,8
2013-01-19,8.7,9,9,82,0.6,1021,17,8,7
2013-01-20,8.7,4,2,57,0.0,1020,19,10,10
2013-01-21,7.1,3,14,54,0.0,1020,19,10,7
2013-01-22,8.7,3,23,57,0.0,1020,20,10,4
2013-01-23,8.7,4,14,60,0.0,1020,20,10,5
2013-01-24,8.7,5,1,53,0.0,1019,20,10,7
2013-01-25,8.7,5,0,55,0.0,1019,21,10,7
2013-01-26,10.7,3,2,48,0.0,1018,21,10,9
2013-01-27,8.5,1,42,44,0.0,1017,22,10,6
2013-01-28,10.8,4,7,48,0.0,1016,23,10,6
2013-01-29,10.8,5,26,59,0.0,1015,23,10,4
2013-01-30,10.8,6,38,61,0.0,1016,22,10,4
2013-01-31,10.8,6,16,55,0.0,1017,24,10,5
2013-02-01,10.1,7,33,53,0.0,1017,24,10,6
2013-02-02,10.8,6,24,49,0.0,1016,24,10,7
2013-02-03,8.5,9,46,69,2.2,1015,21,10,8
2013-02-04,8.5,13,70,85,7.9,1014,19,9,18
2013-02-05,10.9,11,41,86,8.5,1014,17,9,21
2013-02-06,10.9,9,1,71,0.0,1020,20,9,11
2013-02-07,10.9,9,0,69,0.0,1018,20,10,8
2013-02-08,10.9,8,1,63,0.0,1016,21,10,9
2013-02-09,10.9,9,0,64,0.0,1015,22,10,4
2013-02-10,11.0,10,0,67,0.0,1016,23,10,2
2013-02-11,5.5,7,67,62,0.0,1016,23,10,5
2013-02-12,11.0,6,29,57,0.0,1016,22,10,5
2013-02-13,11.0,5,18,50,0.0,1015,24,10,7
2013-02-14,10.1,3,34,41,0.0,1013,24,10,7
2013-02-15,10.1,8,64,65,1.0,1011,21,10,13
2013-02-16,5.5,10,96,93,7.2,1008,12,7,15
2013-02-17,8.6,12,62,89,1.7,1012,17,10,11
2013-02-18,11.1,10,15,77,0.0,1014,21,9,6
2013-02-19,10.1,8,43,68,0.0,1014,22,10,6
2013-02-20,11.1,9,4,64,0.1,1016,23,10,5
2013-02-21,7.1,10,53,74,1.8,1015,20,9,9
2013-02-22,11.2,11,26,76,2.6,1016,23,10,13
2013-02-23,5.6,11,61,91,7.6,1017,14,9,11
2013-02-24,11.2,12,9,79,0.0,1019,23,9,6
2013-02-25,11.2,12,15,75,0.0,1017,23,10,4
2013-02-26,7.1,12,57,75,0.0,1014,22,10,8
2013-02-27,11.3,12,19,81,7.7,1014,22,9,13
2013-02-28,11.6,10,2,65,0.0,1018,23,10,9
2013-03-01,11.6,7,4,60,0.0,1017,24,10,13
2013-03-02,11.6,9,0,56,0.0,1016,25,10,11
2013-03-03,11.6,10,5,56,0.0,1015,27,10,8
2013-03-04,11.6,13,21,63,0.0,1014,28,10,5
2013-03-05,11.6,13,0,57,0.0,1016,28,10,6
2013-03-06,11.6,13,0,56,0.0,1015,29,10,7
2013-03-07,11.6,14,0,61,0.0,1014,29,10,5
2013-03-08,11.6,15,0,60,0.0,1014,30,10,4
2013-03-09,11.6,12,27,56,0.0,1010,29,10,9
2013-03-10,11.6,11,3,52,0.8,1008,30,10,10
2013-03-11,11.6,13,6,57,0.0,1011,29,10,5
2013-03-12,11.6,13,16,61,0.0,1011,27,10,4
2013-03-13,11.6,12,27,58,0.4,1011,29,9,8
2013-03-14,11.6,14,21,80,11.1,1014,24,8,11
2013-03-15,11.6,13,5,66,0.1,1017,26,10,6
2013-03-16,11.6,12,7,61,0.0,1016,27,10,6
2013-03-17,11.6,12,3,56,0.0,1016,28,10,7
2013-03-18,11.6,9,6,49,0.0,1011,29,10,10
2013-03-19,11.6,12,11,55,0.0,1009,31,10,6
2013-03-20,11.6,13,17,49,0.0,1011,31,10,7
2013-03-21,11.6,10,6,43,0.0,1011,31,10,11
2013-03-22,8.8,12,37,52,0.0,1006,31,10,6
2013-03-23,11.6,12,14,46,0.5,1007,32,10,11
2013-03-24,11.6,13,18,66,2.7,1012,29,10,12
2013-03-25,11.6,10,6,50,0.0,1012,28,10,10
2013-03-26,8.8,8,30,45,0.0,1009,30,10,6
2013-03-27,11.6,12,9,49,0.0,1008,32,10,3
2013-03-28,11.6,10,22,47,0.3,1011,30,10,10
2013-03-29,11.6,12,31,55,1.7,1011,29,10,5
2013-03-30,11.6,13,11,55,1.6,1009,31,10,4
2013-03-31,11.6,15,6,56,1.6,1009,32,10,5
2013-04-01,11.6,13,6,43,0.1,1009,35,10,6
2013-04-02,11.6,10,9,41,1.7,1010,33,10,12
2013-04-03,11.6,6,28,33,0.3,1011,32,10,9
2013-04-04,11.6,6,3,31,0.0,1009,32,10,10
2013-04-05,11.6,7,0,31,0.0,1008,32,10,10
2013-04-06,11.6,4,6,25,0.0,1006,34,10,8
2013-04-07,11.6,5,11,24,0.0,1006,35,10,7
2013-04-08,11.6,8,4,27,0.0,1007,36,10,8
2013-04-09,11.6,7,17,27,0.5,1007,36,10,9
2013-04-10,11.6,9,17,36,0.1,1009,31,10,9
2013-04-11,11.6,7,5,29,0.1,1009,34,10,8
2013-04-12,11.6,8,5,28,0.0,1008,36,10,6
2013-04-13,11.6,7,3,25,0.0,1009,37,10,6
2013-04-14,11.6,6,8,24,0.4,1008,37,10,9
2013-04-15,11.6,9,5,27,0.0,1005,37,10,6
2013-04-16,11.6,8,6,28,0.4,1001,37,10,12
2013-04-17,13.0,6,0,23,0.0,1003,35,10,9
2013-04-18,13.4,2,0,16,0.0,1004,38,10,6
2013-04-19,13.4,0,5,14,0.0,1004,38,10,9
2013-04-20,13.5,2,10,16,0.1,1003,38,10,8
2013-04-21,13.5,7,10,27,0.8,1007,35,10,9
2013-04-22,13.5,10,13,31,0.1,1010,36,10,7
2013-04-23,13.5,10,14,31,0.3,1010,36,10,6
2013-04-24,13.5,10,13,28,0.3,1010,38,10,7
2013-04-25,13.6,11,8,28,0.1,1009,37,10,6
2013-04-26,13.6,13,14,36,0.9,1010,36,10,6
2013-04-27,13.6,9,8,28,0.0,1009,36,10,11
2013-04-28,13.6,7,16,24,0.0,1007,36,10,10
2013-04-29,13.6,7,10,21,0.0,1006,38,10,6
2013-04-30,13.6,6,11,20,0.0,1006,39,10,6
2013-05-01,13.7,3,0,17,0.1,1004,38,10,11
2013-05-02,13.7,3,0,17,0.0,1001,38,10,7
2013-05-03,13.7,1,2,14,0.0,1000,39,10,6
2013-05-04,13.7,-1,12,12,0.0,999,42,10,8
2013-05-05,13.7,2,3,13,0.0,1001,42,10,10
2013-05-06,13.7,5,0,15,0.0,1003,41,10,7
2013-05-07,13.8,3,3,14,0.0,1003,41,10,9
2013-05-08,13.8,5,12,16,0.3,1004,41,10,10
2013-05-09,13.8,6,0,16,0.0,1002,41,10,8
2013-05-10,13.8,6,18,19,0.9,1001,42,10,9
2013-05-11,13.8,13,9,33,1.2,1000,38,10,9
2013-05-12,13.8,14,30,42,4.8,1005,33,9,10
2013-05-13,13.8,11,5,30,0.0,1005,36,10,7
2013-05-14,13.9,10,5,24,0.2,1003,38,10,7
2013-05-15,13.9,9,4,21,0.1,1002,40,10,7
2013-05-16,13.9,8,2,18,0.0,1000,40,10,6
2013-05-17,13.9,7,0,16,0.0,1000,43,10,7
2013-05-18,13.9,5,0,13,0.0,999,44,10,6
2013-05-19,13.9,4,1,12,0.0,999,46,10,7
2013-05-20,13.9,3,0,10,0.0,999,46,10,6
2013-05-21,13.9,5,0,11,0.0,999,46,10,6
2013-05-22,14.0,5,0,11,0.0,999,46,10,7
2013-05-23,14.0,4,0,11,0.0,997,46,10,7
2013-05-24,14.0,5,0,10,0.0,996,48,10,5
2013-05-25,14.0,6,2,12,0.0,997,47,10,9
2013-05-26,14.0,9,1,16,0.0,998,45,10,10
2013-05-27,14.0,8,0,15,0.3,1000,44,10,10
2013-05-28,14.0,5,0,13,0.0,1001,43,10,10
2013-05-29,14.0,5,1,14,0.0,1002,41,10,11
2013-05-30,14.0,6,0,15,0.0,1000,41,10,7
2013-05-31,14.0,5,0,13,0.0,998,44,10,5
2013-06-01,14.1,8,0,16,0.0,1000,44,10,9
2013-06-02,14.1,13,5,24,0.0,1000,43,10,9
2013-06-03,14.1,16,10,27,0.1,1000,43,10,9
2013-06-04,14.1,14,4,23,0.0,1001,44,10,6
2013-06-05,14.1,11,1,16,0.0,999,46,10,6
2013-06-06,14.1,7,4,13,0.0,997,47,10,7
2013-06-07,14.1,12,1,18,0.0,997,46,10,10
2013-06-08,14.1,14,0,21,0.0,997,46,10,8
2013-06-09,14.1,13,0,19,0.0,995,48,10,7
2013-06-10,14.1,13,5,18,0.0,995,47,10,6
2013-06-11,14.1,17,17,26,0.0,997,46,10,8
2013-06-12,14.1,22,29,47,10.4,1000,38,9,6
2013-06-13,14.1,22,40,48,3.8,1000,36,10,9
2013-06-14,14.1,18,9,36,0.6,999,40,10,5
2013-06-15,13.4,20,29,54,2.1,1000,32,9,10
2013-06-16,14.1,17,9,39,0.0,998,38,10,6
2013-06-17,14.1,18,12,40,0.0,996,39,10,7
2013-06-18,14.1,16,12,37,1.9,998,38,10,8
2013-06-19,14.1,14,2,26,0.0,999,41,10,6
2013-06-20,14.1,15,0,23,0.0,998,42,10,4
2013-06-21,14.1,15,1,23,0.0,996,46,10,4
2013-06-22,14.1,14,4,22,0.0,996,46,10,6
2013-06-23,14.1,15,4,22,0.0,995,46,10,6
2013-06-24,14.1,16,5,23,0.0,995,46,10,5
2013-06-25,14.1,17,11,29,0.0,998,45,10,11
2013-06-26,14.1,20,18,38,0.0,998,43,10,10
2013-06-27,13.4,21,31,40,0.0,997,43,10,10
2013-06-28,14.1,21,32,39,0.0,996,45,10,8
2013-06-29,14.1,20,19,33,0.0,995,45,10,7
2013-06-30,14.1,17,7,30,0.0,998,42,10,7
2013-07-01,14.1,17,8,29,0.0,996,43,10,6
2013-07-02,14.1,17,6,27,0.0,996,45,10,5
2013-07-03,14.1,19,8,32,0.0,998,44,10,6
2013-07-04,14.1,18,8,31,0.0,998,45,10,6
2013-07-05,14.1,20,32,36,0.3,998,42,10,8
2013-07-06,14.1,21,32,42,1.0,1000,40,10,12
2013-07-07,14.1,23,20,47,1.2,1000,41,10,8
2013-07-08,14.1,22,30,48,0.9,998,43,10,9
2013-07-09,14.1,23,23,50,0.0,996,41,10,9
2013-07-10,14.1,21,18,46,1.3,996,40,10,8
2013-07-11,14.0,17,4,31,0.4,998,42,10,6
