date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2014-01-01,8.7,8,23,76,0.3,1022,17,9,11
2014-01-02,8.7,2,0,49,0.0,1020,19,10,10
2014-01-03,8.7,2,0,53,0.0,1017,18,10,5
2014-01-04,8.7,3,3,55,0.0,1017,19,10,5
2014-01-05,8.7,1,3,49,0.0,1015,19,10,6
2014-01-06,8.7,1,4,45,0.0,1017,19,10,8
2014-01-07,7.1,-3,35,38,0.0,1018,19,10,10
2014-01-08,5.4,-2,61,38,0.0,1018,19,10,6
2014-01-09,8.7,2,12,51,0.0,1018,19,10,8
2014-01-10,8.7,4,5,61,0.2,1018,18,10,6
2014-01-11,8.7,2,2,51,0.0,1019,20,10,10
2014-01-12,8.7,1,12,51,0.0,1020,20,10,8
2014-01-13,7.1,-1,35,41,0.0,1019,16,10,6
2014-01-14,8.7,3,14,49,0.0,1017,21,10,7
2014-01-15,8.7,6,3,64,0.0,1018,21,10,5
2014-01-16,7.1,8,22,72,0.0,1018,21,10,4
2014-01-17,8.7,7,24,69,0.0,1018,20,10,6
2014-01-18,8.7,9,31,81,0.4,1020,18,10,8
2014-01-19,8.7,8,4,74,0.0,1024,20,9,9
2014-01-20,8.7,8,8,72,0.0,1020,21,10,7
2014-01-21,8.7,9,20,75,0.6,1021,20,10,9
2014-01-22,5.5,12,50,93,17.5,1019,17,8,13
2014-01-23,8.7,11,17,81,0.3,1022,19,9,9
2014-01-24,8.7,10,2,76,0.0,1019,20,10,8
2014-01-25,8.7,5,24,59,0.0,1019,21,10,8
2014-01-26,8.7,4,12,51,0.0,1018,21,10,10
2014-01-27,8.7,4,0,47,0.0,1019,23,10,9
2014-01-28,5.5,4,61,57,0.0,1016,22,10,7
2014-01-29,10.8,7,27,64,0.0,1018,22,10,6
2014-01-30,10.8,10,0,70,0.0,1019,22,10,5
2014-01-31,10.8,5,10,61,0.0,1019,22,10,4
2014-02-01,10.8,7,24,68,0.0,1019,22,10,3
2014-02-02,10.1,8,51,65,0.0,1017,22,10,4
2014-02-03,8.5,9,59,64,1.1,1013,22,10,8
2014-02-04,10.1,8,41,61,0.1,1011,22,10,8
2014-02-05,10.9,8,11,66,0.3,1011,22,10,6
2014-02-06,10.1,8,35,72,1.4,1011,18,10,11
2014-02-07,10.9,10,12,84,2.8,1010,19,9,12
2014-02-08,10.9,9,2,77,0.0,1012,20,9,7
2014-02-09,10.9,8,3,69,0.0,1011,20,10,7
2014-02-10,8.5,6,46,70,0.0,1012,17,10,4
2014-02-11,11.0,5,5,64,0.0,1014,19,10,6
2014-02-12,11.0,3,1,51,0.0,1013,20,10,11
2014-02-13,11.0,5,7,56,0.0,1013,22,10,6
2014-02-14,7.0,10,76,92,3.3,1013,13,7,14
2014-02-15,10.1,10,48,89,7.7,1013,15,7,8
2014-02-16,11.1,6,13,66,1.0,1016,19,10,7
2014-02-17,11.1,5,1,60,0.0,1017,20,10,9
2014-02-18,8.6,5,40,59,0.0,1016,23,10,7
2014-02-19,11.1,6,13,60,0.0,1016,23,10,5
2014-02-20,11.1,9,0,60,0.0,1014,23,10,4
2014-02-21,11.2,9,10,65,0.0,1014,24,10,10
2014-02-22,11.2,12,31,85,5.2,1018,20,9,8
2014-02-23,11.2,9,8,66,0.0,1019,22,10,6
2014-02-24,11.2,9,9,60,0.0,1018,24,10,7
2014-02-25,11.6,10,1,62,0.0,1017,24,10,4
2014-02-26,11.6,9,5,64,0.0,1015,24,10,6
2014-02-27,11.6,8,23,62,4.0,1015,24,10,9
2014-02-28,8.7,10,41,75,7.8,1014,20,9,6
2014-03-01,11.6,11,13,82,4.9,1016,19,10,9
2014-03-02,11.6,10,6,75,2.5,1017,20,10,5
2014-03-03,11.6,7,31,57,0.0,1017,24,10,8
2014-03-04,11.6,6,42,46,0.1,1017,24,10,8
2014-03-05,8.7,6,60,55,0.4,1017,19,10,7
2014-03-06,11.6,8,8,59,0.0,1017,23,10,6
2014-03-07,11.6,6,6,50,0.0,1017,25,10,9
2014-03-08,11.6,8,5,50,0.0,1017,26,10,10
2014-03-09,10.2,7,29,52,0.3,1015,23,10,8
2014-03-10,11.6,9,16,56,1.9,1013,26,10,20
2014-03-11,10.2,12,35,79,19.0,1014,25,8,17
2014-03-12,11.6,13,7,75,1.5,1018,23,8,8
2014-03-13,11.6,10,13,63,0.0,1016,25,10,7
2014-03-14,11.6,12,5,64,0.0,1015,26,10,7
2014-03-15,11.6,11,32,58,0.0,1016,28,10,8
2014-03-16,11.6,11,13,50,0.0,1016,30,10,9
2014-03-17,10.2,11,39,46,0.0,1013,31,10,11
2014-03-18,11.6,12,7,63,2.3,1015,28,10,11
2014-03-19,11.6,9,1,49,0.0,1015,27,10,10
2014-03-20,11.6,10,14,57,0.0,1011,28,10,5
2014-03-21,11.6,10,19,48,0.4,1009,31,10,7
2014-03-22,11.6,9,7,44,0.5,1008,30,10,8
2014-03-23,11.6,11,21,48,0.1,1011,29,10,7
2014-03-24,8.8,6,43,33,0.4,1012,33,10,9
2014-03-25,11.6,6,29,31,0.3,1012,34,10,9
2014-03-26,8.8,6,43,31,0.0,1012,34,10,9
2014-03-27,10.2,9,44,42,0.0,1013,29,10,8
2014-03-28,11.6,11,21,52,0.2,1014,29,10,6
2014-03-29,11.6,10,5,45,0.1,1013,30,10,11
2014-03-30,11.6,9,1,44,0.0,1012,30,10,11
2014-03-31,11.6,8,0,37,0.0,1009,31,10,9
2014-04-01,11.6,6,9,33,0.0,1008,32,10,7
2014-04-02,11.6,7,21,37,1.2,1008,30,10,6
2014-04-03,11.6,8,6,40,0.4,1012,30,10,9
2014-04-04,11.6,9,18,39,0.1,1012,32,10,11
2014-04-05,11.6,9,14,37,0.0,1011,34,10,12
2014-04-06,11.6,9,5,35,0.1,1010,35,10,11
2014-04-07,11.6,12,5,51,1.5,1012,31,10,9
2014-04-08,11.6,6,0,31,0.0,1012,32,10,10
2014-04-09,11.6,4,0,26,0.0,1012,32,10,10
2014-04-10,11.6,1,11,21,0.0,1012,33,10,10
2014-04-11,11.6,2,5,21,0.0,1010,35,10,10
2014-04-12,11.6,3,12,22,0.4,1009,34,10,9
2014-04-13,11.6,8,11,34,1.6,1012,32,10,11
2014-04-14,11.6,2,4,21,0.0,1013,34,10,10
2014-04-15,12.6,3,15,19,0.0,1012,36,10,9
2014-04-16,13.0,6,12,25,0.1,1010,35,10,7
2014-04-17,13.0,8,14,30,0.2,1009,34,10,8
2014-04-18,13.0,11,30,40,3.6,1012,31,9,9
2014-04-19,13.0,12,28,51,5.0,1014,30,10,10
2014-04-20,13.0,7,3,30,0.0,1013,32,10,8
2014-04-21,13.5,2,6,20,0.0,1012,35,10,9
2014-04-22,13.5,7,13,27,0.0,1014,35,10,9
2014-04-23,13.5,9,6,29,0.3,1011,35,10,8
2014-04-24,13.5,8,1,25,0.1,1008,37,10,8
2014-04-25,13.5,7,5,22,0.0,1008,38,10,9
2014-04-26,13.6,6,2,20,0.0,1008,38,10,10
2014-04-27,13.6,6,1,20,0.0,1010,38,10,10
2014-04-28,13.6,6,0,19,0.0,1008,39,10,9
2014-04-29,13.6,4,0,15,0.0,1006,41,10,9
2014-04-30,13.6,4,0,14,0.0,1006,42,10,9
2014-05-01,13.6,5,2,15,0.0,1004,42,10,9
2014-05-02,13.7,6,5,18,0.4,1003,43,10,10
2014-05-03,13.7,12,7,30,2.3,1005,39,10,11
2014-05-04,13.7,14,9,35,2.2,1005,39,10,10
2014-05-05,13.7,14,14,34,1.1,1007,39,10,7
2014-05-06,13.7,15,23,38,3.2,1010,38,10,8
2014-05-07,13.7,15,17,37,0.6,1007,37,10,8
2014-05-08,13.8,11,3,26,0.0,1005,40,10,9
2014-05-09,13.8,5,15,18,0.0,1003,39,10,10
2014-05-10,13.8,6,8,19,0.0,1003,39,10,10
2014-05-11,13.8,13,41,36,4.0,1006,34,10,7
2014-05-12,13.3,13,31,40,1.4,1007,35,10,12
2014-05-13,13.8,14,13,43,0.9,1010,33,10,9
2014-05-14,13.8,11,4,33,0.2,1009,34,10,9
2014-05-15,13.9,8,3,25,0.0,1006,36,10,10
2014-05-16,13.9,7,4,21,0.0,1006,37,10,8
2014-05-17,13.9,6,6,19,0.0,1009,38,10,8
2014-05-18,13.9,8,5,21,0.0,1009,39,10,8
2014-05-19,13.9,9,3,23,0.0,1009,38,10,8
2014-05-20,13.9,9,7,24,0.3,1007,38,10,10
2014-05-21,13.9,8,3,22,0.4,1005,39,10,11
2014-05-22,13.9,8,1,18,0.0,1002,40,10,7
2014-05-23,13.9,6,15,18,0.4,1003,42,10,12
2014-05-24,14.0,8,3,21,0.1,1007,41,10,9
2014-05-25,14.0,8,6,21,1.4,1008,41,10,9
2014-05-26,14.0,10,5,24,0.0,1010,41,10,9
2014-05-27,14.0,8,5,19,0.0,1007,41,10,8
2014-05-28,14.0,8,2,17,0.0,1004,42,10,9
2014-05-29,14.0,7,2,15,0.0,1002,45,10,8
2014-05-30,14.0,8,3,16,0.1,1002,44,10,9
2014-05-31,14.0,6,3,15,0.2,1002,44,10,10
