date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2014-01-01,8.7,9,31,79,0.0,1021,17,8,12
2014-01-02,8.7,2,0,49,0.0,1019,19,10,11
2014-01-03,8.7,2,0,53,0.0,1017,19,10,6
2014-01-04,8.7,2,6,53,0.0,1016,20,10,5
2014-01-05,8.7,2,2,48,0.0,1015,20,10,7
2014-01-06,8.7,2,2,48,0.0,1017,19,10,8
2014-01-07,7.1,-2,37,40,0.0,1017,19,10,10
2014-01-08,8.7,-1,50,39,0.0,1018,20,10,6
2014-01-09,8.7,2,13,49,0.0,1017,19,10,9
2014-01-10,8.7,5,6,63,0.0,1017,18,10,7
2014-01-11,8.7,3,3,53,0.0,1019,20,10,11
2014-01-12,8.7,1,13,49,0.0,1020,20,10,8
2014-01-13,7.1,-1,51,40,0.0,1019,16,10,8
2014-01-14,8.7,2,11,49,0.0,1017,21,10,8
2014-01-15,8.7,8,2,67,0.0,1018,21,10,4
2014-01-16,8.7,9,8,74,0.0,1018,21,10,4
2014-01-17,8.7,6,17,64,0.0,1017,19,10,8
2014-01-18,8.7,9,35,84,1.5,1020,17,8,10
2014-01-19,8.7,9,4,75,0.0,1024,21,9,10
2014-01-20,8.7,9,5,72,0.0,1020,21,10,8
2014-01-21,8.7,10,20,77,0.0,1021,20,10,10
2014-01-22,5.5,13,62,94,11.0,1019,18,7,14
2014-01-23,8.7,11,17,82,0.3,1021,20,9,9
2014-01-24,8.7,11,3,80,0.0,1019,20,10,9
2014-01-25,8.7,6,33,63,0.0,1019,21,10,9
2014-01-26,8.7,5,20,55,0.0,1018,22,10,11
2014-01-27,8.7,5,0,49,0.0,1019,23,10,11
2014-01-28,5.5,4,59,55,0.0,1017,23,10,8
2014-01-29,8.7,7,23,65,0.0,1018,23,10,6
2014-01-30,10.8,11,0,72,0.0,1019,22,10,5
2014-01-31,10.8,7,12,66,0.0,1019,22,10,4
2014-02-01,10.8,8,22,71,0.0,1019,22,10,3
2014-02-02,10.1,8,38,67,0.0,1017,22,10,4
2014-02-03,8.5,9,50,60,0.7,1013,24,10,8
2014-02-04,10.9,8,30,60,0.0,1011,23,10,8
2014-02-05,10.9,9,9,68,0.0,1011,22,10,6
2014-02-06,10.1,9,31,74,1.9,1010,18,10,11
2014-02-07,10.1,11,20,84,2.0,1010,19,8,12
2014-02-08,10.9,10,1,77,0.0,1011,20,8,9
2014-02-09,11.0,8,0,70,0.0,1011,20,10,7
2014-02-10,8.5,6,51,73,0.0,1011,17,10,4
2014-02-11,11.0,6,2,66,0.0,1013,19,10,6
2014-02-12,11.0,4,0,54,0.0,1013,20,10,12
2014-02-13,11.0,6,13,58,0.0,1013,22,10,6
2014-02-14,5.5,10,90,93,4.1,1013,13,6,13
2014-02-15,10.1,11,45,89,4.0,1013,16,9,9
2014-02-16,11.1,6,10,68,0.3,1016,19,10,8
2014-02-17,11.1,5,1,58,0.0,1017,21,10,11
2014-02-18,8.6,5,48,59,0.0,1016,23,10,9
2014-02-19,11.1,7,7,63,0.0,1016,23,10,5
2014-02-20,11.2,10,0,64,0.0,1014,23,10,4
2014-02-21,11.2,10,7,67,0.1,1014,24,10,10
2014-02-22,10.1,13,39,87,2.8,1018,20,9,8
2014-02-23,11.2,10,15,71,0.0,1019,23,10,7
2014-02-24,11.6,9,10,62,0.0,1018,24,10,7
2014-02-25,11.6,11,6,65,0.0,1017,24,10,4
2014-02-26,11.6,10,3,65,0.0,1015,24,10,6
2014-02-27,11.6,9,21,65,5.8,1014,24,10,9
2014-02-28,8.7,11,36,76,6.7,1014,21,9,7
2014-03-01,11.6,11,12,85,4.6,1016,19,10,8
2014-03-02,11.6,10,5,76,0.0,1017,21,9,5
2014-03-03,11.6,9,28,62,0.0,1017,24,10,8
2014-03-04,11.6,8,38,49,0.1,1017,24,10,8
2014-03-05,8.7,7,56,57,0.7,1017,22,10,6
2014-03-06,11.6,9,6,62,0.0,1017,24,10,6
2014-03-07,11.6,6,6,50,0.0,1017,25,10,11
2014-03-08,11.6,9,4,51,0.0,1017,26,10,11
2014-03-09,10.2,8,23,52,0.0,1015,25,10,7
2014-03-10,11.6,9,11,53,0.0,1013,26,10,20
2014-03-11,11.6,12,26,77,14.4,1014,25,8,18
2014-03-12,11.6,13,9,75,1.1,1018,23,9,8
2014-03-13,11.6,11,27,64,0.0,1016,25,10,8
2014-03-14,11.6,13,2,64,0.0,1015,27,10,7
2014-03-15,11.6,12,27,60,0.0,1016,28,10,8
2014-03-16,11.6,11,17,49,0.0,1016,31,10,10
2014-03-17,10.2,11,43,45,0.0,1012,31,10,10
2014-03-18,11.6,12,8,60,1.5,1014,29,10,10
2014-03-19,11.6,9,1,49,0.0,1014,28,10,10
2014-03-20,11.6,10,12,56,0.0,1011,29,10,6
2014-03-21,11.6,10,22,47,0.0,1008,31,10,7
2014-03-22,11.6,10,7,46,0.0,1008,31,10,7
2014-03-23,11.6,12,21,50,0.0,1011,29,10,8
2014-03-24,10.2,6,35,32,0.4,1011,34,10,9
