date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2014-01-01,8.7,5,15,71,1.8,1023,15,10,6
2014-01-02,8.7,0,1,43,0.0,1021,17,10,6
2014-01-03,8.7,-1,0,43,0.0,1019,17,10,3
2014-01-04,8.7,-1,4,44,0.0,1019,17,10,4
2014-01-05,8.7,-3,8,40,0.0,1017,17,10,7
2014-01-06,8.7,-3,5,38,0.0,1020,16,10,7
2014-01-07,7.1,-7,45,31,0.0,1019,16,10,5
2014-01-08,3.8,-2,71,41,0.1,1019,17,10,4
2014-01-09,8.7,0,9,49,0.0,1020,16,10,4
2014-01-10,8.7,-3,9,43,0.1,1020,15,10,6
2014-01-11,8.7,0,1,44,0.0,1021,17,10,6
2014-01-12,8.7,-2,21,44,0.0,1021,17,10,5
2014-01-13,8.7,-1,29,42,0.0,1020,17,10,4
2014-01-14,8.7,3,24,52,0.2,1019,19,10,5
2014-01-15,8.7,4,5,57,0.0,1019,18,10,5
2014-01-16,3.8,2,52,50,0.0,1020,18,10,5
2014-01-17,8.7,3,21,57,0.0,1019,17,10,4
2014-01-18,8.7,6,12,75,0.0,1021,15,10,4
2014-01-19,8.7,5,2,63,0.0,1025,17,10,6
2014-01-20,5.5,3,30,55,0.0,1022,19,10,5
2014-01-21,8.7,4,12,55,0.0,1022,20,10,5
2014-01-22,5.5,8,58,81,15.7,1020,12,8,10
2014-01-23,8.7,6,14,68,2.6,1023,17,10,7
2014-01-24,8.7,3,9,52,0.0,1020,18,10,5
2014-01-25,8.7,-1,36,41,0.0,1020,19,10,6
2014-01-26,8.7,-1,26,38,0.0,1020,19,10,6
2014-01-27,8.7,0,0,38,0.0,1021,20,10,6
2014-01-28,7.1,-1,36,43,0.0,1017,20,10,5
2014-01-29,8.7,2,19,48,0.0,1018,20,10,5
2014-01-30,8.7,3,2,50,0.0,1020,19,10,4
2014-01-31,10.8,-1,3,40,0.0,1019,20,10,6
2014-02-01,10.0,-1,45,42,0.0,1020,20,10,5
2014-02-02,8.5,1,58,40,0.0,1018,20,10,5
2014-02-03,10.1,5,59,58,2.1,1015,16,9,11
2014-02-04,10.1,6,40,61,1.1,1013,18,10,7
2014-02-05,10.9,6,23,60,1.5,1013,18,9,8
2014-02-06,8.5,2,51,51,0.9,1013,17,9,11
2014-02-07,10.9,9,28,82,7.5,1011,16,9,11
2014-02-08,10.9,7,20,75,2.1,1014,17,10,4
2014-02-09,10.9,4,5,62,0.0,1013,17,10,4
2014-02-10,7.0,1,50,51,0.1,1014,15,10,6
2014-02-11,11.0,2,23,53,0.7,1016,16,10,6
2014-02-12,11.0,-2,0,40,0.0,1015,17,10,7
2014-02-13,11.0,-3,7,36,0.0,1015,19,10,7
2014-02-14,11.0,6,58,81,3.7,1014,10,8,9
2014-02-15,10.1,6,57,80,7.0,1013,12,9,7
2014-02-16,11.0,2,11,58,0.0,1017,15,10,6
2014-02-17,11.1,2,0,52,0.0,1019,17,10,5
2014-02-18,11.1,1,7,46,0.0,1018,20,10,5
2014-02-19,10.1,0,32,42,0.0,1018,20,10,5
2014-02-20,11.1,0,7,37,0.0,1016,20,10,6
2014-02-21,11.1,2,28,44,0.0,1016,21,10,8
2014-02-22,11.2,7,39,69,6.2,1019,18,10,9
2014-02-23,11.2,4,4,50,0.0,1020,20,10,6
2014-02-24,11.2,3,17,47,0.0,1020,21,10,6
2014-02-25,11.2,3,0,43,0.0,1019,21,10,6
2014-02-26,11.6,3,7,45,0.3,1017,21,10,8
2014-02-27,8.7,3,58,50,3.9,1016,19,9,10
2014-02-28,8.7,6,58,62,7.0,1015,17,10,9
2014-03-01,11.6,7,27,67,2.8,1016,17,10,12
2014-03-02,11.6,6,21,64,1.4,1018,18,10,6
2014-03-03,8.7,1,45,41,0.0,1018,20,10,9
2014-03-04,11.6,3,35,41,0.1,1018,20,10,9
2014-03-05,8.7,5,62,59,2.2,1018,14,9,10
2014-03-06,11.6,4,8,51,0.0,1018,20,10,6
2014-03-07,11.6,2,10,41,0.0,1018,22,10,6
2014-03-08,11.6,2,3,38,0.0,1019,22,10,7
2014-03-09,10.2,4,36,51,1.8,1017,18,10,9
2014-03-10,11.6,7,45,58,10.4,1015,23,9,17
2014-03-11,8.8,10,56,75,20.3,1016,19,8,14
2014-03-12,11.6,8,10,65,4.5,1019,20,10,9
2014-03-13,11.6,5,6,48,0.0,1018,22,10,7
2014-03-14,11.6,8,11,52,0.0,1016,24,10,5
2014-03-15,11.6,8,25,49,0.0,1018,26,10,5
2014-03-16,8.8,8,29,44,0.0,1019,28,10,7
2014-03-17,10.2,8,44,44,0.8,1015,29,10,13
2014-03-18,11.6,9,8,57,3.5,1017,23,10,12
2014-03-19,11.6,5,0,43,0.0,1017,24,10,6
2014-03-20,10.2,7,19,46,0.0,1013,24,10,4
2014-03-21,11.6,4,29,35,0.7,1011,26,10,8
2014-03-22,11.6,5,7,38,0.5,1011,26,10,8
2014-03-23,11.6,5,21,40,0.0,1013,24,10,10
2014-03-24,8.8,4,46,33,1.0,1015,29,10,9
2014-03-25,8.8,4,47,33,0.7,1015,30,10,9
2014-03-26,8.8,4,46,32,0.6,1015,30,10,9
2014-03-27,10.2,7,38,43,0.2,1015,26,10,8
2014-03-28,11.6,10,31,59,3.4,1015,23,10,8
2014-03-29,11.6,8,9,46,0.3,1016,26,10,8
2014-03-30,11.6,7,1,41,0.0,1014,26,10,7
2014-03-31,11.6,6,0,37,0.0,1011,27,10,6
2014-04-01,10.2,4,19,32,0.0,1010,28,10,7
2014-04-02,11.6,4,27,34,0.7,1010,25,10,7
2014-04-03,11.6,6,5,38,0.0,1014,26,10,6
2014-04-04,11.6,7,28,40,0.0,1014,28,10,7
2014-04-05,11.6,7,19,36,0.0,1014,29,10,8
2014-04-06,11.6,7,15,36,1.1,1013,30,10,10
2014-04-07,11.6,9,15,47,2.5,1015,27,10,11
2014-04-08,11.6,3,0,29,0.0,1015,27,10,9
2014-04-09,11.6,2,0,26,0.0,1015,27,10,7
2014-04-10,11.6,0,11,24,0.0,1015,28,10,8
2014-04-11,11.6,2,3,25,0.0,1013,30,10,9
2014-04-12,11.6,3,13,27,0.0,1012,29,10,9
2014-04-13,11.6,7,18,39,2.0,1015,28,10,9
2014-04-14,12.6,1,2,25,0.0,1016,29,10,8
2014-04-15,13.0,3,29,25,0.0,1015,31,10,11
2014-04-16,13.0,6,13,32,0.3,1012,30,10,9
2014-04-17,13.0,6,21,33,0.4,1012,28,10,10
2014-04-18,13.0,7,36,44,8.9,1015,25,9,11
2014-04-19,13.5,11,28,58,9.3,1016,25,10,11
2014-04-20,13.5,5,3,32,0.0,1016,27,10,7
2014-04-21,13.5,2,14,25,0.0,1015,30,10,8
2014-04-22,13.5,3,20,25,0.0,1017,31,10,6
2014-04-23,13.5,6,3,28,0.0,1014,31,10,6
2014-04-24,13.5,6,4,27,0.0,1011,32,10,8
2014-04-25,13.6,7,14,28,0.0,1011,32,10,7
2014-04-26,13.6,6,2,26,0.0,1012,33,10,9
2014-04-27,13.6,5,2,25,0.0,1013,33,10,8
2014-04-28,13.6,5,0,23,0.0,1011,34,10,7
2014-04-29,13.6,4,0,20,0.0,1010,36,10,8
2014-04-30,13.6,5,2,20,0.0,1010,37,10,9
2014-05-01,13.7,7,7,22,0.0,1009,37,10,9
2014-05-02,13.7,8,5,25,0.6,1008,37,10,10
2014-05-03,13.7,11,7,32,2.4,1009,35,10,13
2014-05-04,13.7,12,9,36,3.0,1008,35,10,11
2014-05-05,13.7,12,10,36,0.1,1010,33,10,6
2014-05-06,13.8,13,8,42,0.9,1012,33,10,7
2014-05-07,13.8,13,8,41,0.0,1010,33,10,6
2014-05-08,13.8,9,2,29,0.0,1009,35,10,7
2014-05-09,13.8,5,6,23,0.0,1007,34,10,9
2014-05-10,13.8,6,6,24,0.0,1006,34,10,9
2014-05-11,13.3,9,37,35,1.3,1009,30,10,10
2014-05-12,13.3,12,42,50,6.3,1010,27,9,14
2014-05-13,13.9,12,15,49,3.8,1012,29,10,8
2014-05-14,13.9,8,5,34,0.0,1012,29,10,7
2014-05-15,13.9,6,1,27,0.0,1009,31,10,8
2014-05-16,13.9,5,6,24,0.0,1008,33,10,8
2014-05-17,13.9,5,5,22,0.0,1012,33,10,7
2014-05-18,13.9,9,8,27,0.0,1012,34,10,7
2014-05-19,13.9,7,6,26,0.0,1012,34,10,7
2014-05-20,14.0,7,10,26,0.3,1010,34,10,7
2014-05-21,14.0,8,2,27,0.0,1008,34,10,8
2014-05-22,14.0,6,4,23,0.1,1006,35,10,9
2014-05-23,14.0,8,11,26,1.8,1007,36,10,9
2014-05-24,14.0,7,1,23,0.3,1010,35,10,8
2014-05-25,14.0,6,14,22,0.3,1011,36,10,10
2014-05-26,14.0,8,4,25,0.0,1012,34,10,7
2014-05-27,14.0,7,6,24,0.0,1011,35,10,7
2014-05-28,14.0,7,1,22,0.0,1008,37,10,9
2014-05-29,14.1,5,5,18,0.0,1006,39,10,9
2014-05-30,14.1,8,3,22,0.0,1006,38,10,8
2014-05-31,14.1,6,3,20,0.2,1006,40,10,11
2014-06-01,14.1,9,3,26,0.6,1009,38,10,9
2014-06-02,14.1,6,0,20,0.0,1010,37,10,9
2014-06-03,14.1,6,0,19,0.0,1006,38,10,9
2014-06-04,14.1,6,0,18,0.0,1005,40,10,10
2014-06-05,14.1,6,0,17,0.0,1004,41,10,9
2014-06-06,14.1,6,0,16,0.0,1002,41,10,9
2014-06-07,14.1,6,0,17,0.0,1001,42,10,10
2014-06-08,14.1,4,0,14,0.0,1001,41,10,9
2014-06-09,14.1,2,0,13,0.0,1001,41,10,10
2014-06-10,14.1,0,0,11,0.0,1002,41,10,10
2014-06-11,14.1,2,0,13,0.0,1003,41,10,10
2014-06-12,14.2,-1,1,11,0.0,1003,39,10,11
2014-06-13,14.2,9,2,23,0.4,1001,38,10,9
2014-06-14,14.2,12,2,27,0.0,1001,39,10,9
2014-06-15,14.2,16,5,33,0.0,1002,40,10,9
2014-06-16,14.2,17,8,35,0.6,1002,40,10,10
2014-06-17,14.2,16,6,33,1.8,1000,40,10,7
2014-06-18,14.2,15,5,31,0.0,1000,40,10,8
2014-06-19,14.2,14,4,30,0.0,1000,40,10,7
2014-06-20,14.2,12,4,25,0.0,998,40,10,8
2014-06-21,14.2,12,6,26,0.0,1000,40,10,8
2014-06-22,14.2,12,6,29,0.2,1002,37,10,7
2014-06-23,14.2,13,9,33,0.5,1002,36,10,7
2014-06-24,14.2,13,9,33,0.3,1000,36,10,7
2014-06-25,14.2,14,13,38,1.6,1002,36,10,7
2014-06-26,14.2,14,11,34,0.0,1006,37,10,8
2014-06-27,14.2,16,7,39,0.0,1007,37,10,7
2014-06-28,14.2,18,10,41,0.1,1005,37,10,7
2014-06-29,14.2,18,13,43,0.5,1002,37,10,8
2014-06-30,14.2,20,29,52,0.0,1001,36,10,8
2014-07-01,14.2,21,32,61,5.2,1004,33,9,8
2014-07-02,14.1,21,22,59,4.2,1005,34,10,8
2014-07-03,14.1,19,17,51,0.0,1003,35,10,5
2014-07-04,14.1,19,10,50,2.6,1002,35,10,5
2014-07-05,14.1,16,4,38,0.0,1004,37,10,7
2014-07-06,14.1,15,5,36,0.0,1005,37,10,6
2014-07-07,14.1,14,3,33,0.0,1004,38,10,8
2014-07-08,14.1,14,6,33,0.0,1002,38,10,8
2014-07-09,14.1,15,6,35,0.0,1002,39,10,8
2014-07-10,14.1,16,9,37,0.1,1003,38,10,8
2014-07-11,14.1,17,6,37,0.0,1002,39,10,8
2014-07-12,14.1,17,7,36,0.0,1002,39,10,8
2014-07-13,14.1,16,7,33,0.0,1003,40,10,8
2014-07-14,14.1,18,15,41,0.0,1002,39,10,9
2014-07-15,14.1,19,17,43,0.0,1000,39,10,10
2014-07-16,14.0,22,27,64,8.2,1002,33,9,10
2014-07-17,14.0,22,22,62,2.5,1002,35,10,6
2014-07-18,14.0,21,9,57,0.6,1000,35,10,4
2014-07-19,14.0,19,8,52,0.1,1000,35,10,6
2014-07-20,14.0,18,5,47,0.0,1001,35,10,6
2014-07-21,14.0,18,6,46,0.0,1001,36,10,6
2014-07-22,14.0,18,10,40,0.0,1001,37,10,4
2014-07-23,14.0,21,44,54,2.1,1001,37,10,8
2014-07-24,12.2,22,60,74,6.1,1003,29,10,9
2014-07-25,13.3,22,43,69,0.5,1005,31,9,8
2014-07-26,13.9,21,31,59,0.2,1007,35,10,5
2014-07-27,13.9,22,34,60,6.1,1006,34,9,7
2014-07-28,13.3,22,45,73,17.6,1003,31,9,11
2014-07-29,13.9,22,42,71,12.6,1004,31,9,8
2014-07-30,13.9,22,26,65,1.8,1004,34,10,5
2014-07-31,13.8,22,28,64,0.7,1005,35,10,7
2014-08-01,13.8,23,28,69,5.3,1004,33,9,5
2014-08-02,13.8,22,16,64,1.8,1002,34,10,5
2014-08-03,13.8,21,12,57,0.1,1000,36,10,7
2014-08-04,13.8,21,11,57,0.6,1000,36,10,5
2014-08-05,13.8,23,24,66,2.8,1002,34,10,5
2014-08-06,13.8,23,16,64,0.5,1002,36,10,3
2014-08-07,13.7,24,26,72,3.1,1001,33,10,5
2014-08-08,13.7,23,29,72,3.5,1003,33,10,4
2014-08-09,13.7,22,21,67,0.6,1005,34,10,5
2014-08-10,13.7,21,9,58,0.0,1005,35,10,5
2014-08-11,13.7,20,10,55,0.0,1004,35,10,6
2014-08-12,13.7,22,19,61,0.9,1003,35,10,5
2014-08-13,13.6,23,33,68,8.9,1002,34,9,7
2014-08-14,13.6,22,31,65,4.3,1001,33,9,8
2014-08-15,13.6,22,36,72,7.4,1002,32,10,11
2014-08-16,13.6,21,18,71,3.5,1007,31,10,7
2014-08-17,13.6,19,6,59,0.0,1008,33,10,5
2014-08-18,13.6,18,5,54,0.0,1009,34,10,5
2014-08-19,13.5,18,4,51,0.0,1009,33,10,5
2014-08-20,13.5,19,7,53,0.0,1007,35,10,6
2014-08-21,13.5,18,10,51,0.0,1005,36,10,7
2014-08-22,13.5,17,13,49,0.1,1006,36,10,8
2014-08-23,13.5,17,10,47,0.0,1008,35,10,6
2014-08-24,13.5,17,5,46,0.0,1008,35,10,6
2014-08-25,13.4,16,4,43,0.0,1008,35,10,6
2014-08-26,13.4,17,6,47,0.1,1007,35,10,5
2014-08-27,13.0,15,4,42,0.0,1007,35,10,5
2014-08-28,12.6,15,9,44,0.0,1009,34,10,4
2014-08-29,12.6,15,12,48,0.6,1009,34,10,5
2014-08-30,11.6,17,9,50,0.4,1008,35,10,5
2014-08-31,11.6,18,12,50,0.0,1006,35,10,5
2014-09-01,11.6,20,12,61,0.4,1007,34,10,4
2014-09-02,11.6,18,38,56,0.0,1009,32,10,5
2014-09-03,8.9,18,61,61,2.4,1008,31,9,10
2014-09-04,6.2,21,83,85,29.0,1006,26,9,8
2014-09-05,7.6,21,83,88,47.4,1003,24,8,14
2014-09-06,11.6,21,40,80,12.6,1006,28,9,14
2014-09-07,11.6,21,9,73,0.5,1009,31,10,5
2014-09-08,11.6,21,15,70,3.0,1009,31,10,4
2014-09-09,11.6,22,7,72,0.2,1008,31,10,4
2014-09-10,11.6,20,3,64,0.0,1008,32,10,5
2014-09-11,11.6,19,7,64,0.0,1009,31,10,6
2014-09-12,11.6,20,9,72,0.0,1010,30,10,5
2014-09-13,8.9,18,38,60,0.4,1009,33,10,6
2014-09-14,11.6,19,8,68,0.0,1009,30,10,4
2014-09-15,11.6,18,3,62,0.0,1009,30,10,5
2014-09-16,11.6,19,7,67,0.0,1007,31,10,4
2014-09-17,11.6,21,14,74,0.0,1006,31,10,4
2014-09-18,11.6,22,9,72,0.0,1008,32,10,5
2014-09-19,11.6,21,5,68,0.1,1008,33,10,4
2014-09-20,11.6,19,4,61,0.1,1008,33,10,5
2014-09-21,11.6,16,5,52,0.0,1008,32,10,6
2014-09-22,11.6,17,5,57,0.0,1009,31,10,5
2014-09-23,11.6,19,6,62,0.0,1008,32,10,5
2014-09-24,11.6,20,12,67,3.5,1010,31,10,6
2014-09-25,11.6,17,6,58,0.0,1012,31,10,5
2014-09-26,11.6,16,4,54,0.0,1012,31,10,5
2014-09-27,11.6,16,6,56,0.0,1013,31,10,5
2014-09-28,11.6,17,12,62,4.1,1013,30,10,5
2014-09-29,11.6,17,10,61,1.7,1013,31,10,6
2014-09-30,11.6,17,8,58,2.5,1013,31,10,6
2014-10-01,11.6,17,15,60,1.7,1014,30,10,6
2014-10-02,11.6,19,23,71,0.9,1014,29,10,5
2014-10-03,11.6,20,19,71,4.0,1012,30,9,4
2014-10-04,11.6,20,16,71,2.3,1013,30,10,5
2014-10-05,11.6,18,6,61,0.1,1015,31,10,4
2014-10-06,11.6,16,3,53,0.0,1016,31,10,4
2014-10-07,11.6,14,2,47,0.0,1014,31,10,6
2014-10-08,11.6,11,5,43,0.1,1015,29,10,6
2014-10-09,11.6,7,0,34,0.0,1015,29,10,5
2014-10-10,11.6,5,0,31,0.0,1014,29,10,6
2014-10-11,11.6,5,0,30,0.0,1013,29,10,7
2014-10-12,8.7,4,1,28,0.0,1014,30,10,7
2014-10-13,8.7,1,0,23,0.0,1015,30,10,8
2014-10-14,8.7,4,6,34,0.0,1015,28,10,6
2014-10-15,8.7,7,5,45,0.0,1018,26,10,5
2014-10-16,8.7,8,1,43,0.0,1017,26,10,5
2014-10-17,8.7,6,0,36,0.0,1017,27,10,6
2014-10-18,8.7,5,1,35,0.0,1016,27,10,5
2014-10-19,8.7,5,3,36,0.0,1016,27,10,5
2014-10-20,8.7,6,5,36,0.0,1016,28,10,5
2014-10-21,8.7,9,0,40,0.0,1018,28,10,5
2014-10-22,8.7,10,0,44,0.0,1018,28,10,4
2014-10-23,8.7,10,3,46,0.0,1016,28,10,4
2014-10-24,8.7,8,2,43,0.0,1016,28,10,5
2014-10-25,8.7,7,2,38,0.0,1016,27,10,6
2014-10-26,8.7,6,3,36,0.0,1018,27,10,6
2014-10-27,8.7,7,0,37,0.0,1017,27,10,6
2014-10-28,8.7,4,7,36,0.0,1016,27,10,6
2014-10-29,8.7,5,5,36,0.0,1017,26,10,7
2014-10-30,8.7,2,3,29,0.0,1017,26,10,8
2014-10-31,8.7,0,11,28,0.0,1017,26,10,7
2014-11-01,8.7,-1,1,25,0.0,1017,26,10,7
2014-11-02,8.7,-4,5,22,0.0,1017,26,10,7
2014-11-03,8.7,-4,25,22,0.0,1017,26,10,8
2014-11-04,8.7,8,16,47,0.5,1016,25,10,5
2014-11-05,8.7,6,1,41,0.0,1016,26,10,6
2014-11-06,8.7,2,7,32,0.0,1014,25,10,5
2014-11-07,8.7,2,33,31,0.1,1016,27,10,7
2014-11-08,8.7,6,10,39,0.0,1020,26,10,7
2014-11-09,8.7,4,1,35,0.0,1020,26,10,7
2014-11-10,8.7,0,2,27,0.0,1017,26,10,7
2014-11-11,8.7,-2,0,24,0.0,1017,25,10,6
2014-11-12,8.7,-3,0,23,0.0,1019,25,10,7
2014-11-13,8.7,-5,0,20,0.0,1019,24,10,7
2014-11-14,8.7,-4,0,23,0.0,1019,24,10,6
2014-11-15,8.7,-4,1,23,0.0,1017,24,10,5
2014-11-16,8.7,-5,0,22,0.0,1018,24,10,7
2014-11-17,8.7,-2,2,27,0.0,1018,24,10,5
2014-11-18,8.7,-2,16,30,0.0,1019,24,10,5
2014-11-19,8.7,-3,0,26,0.0,1019,24,10,5
2014-11-20,8.7,-4,1,25,0.0,1017,24,10,6
2014-11-21,8.7,-5,20,23,0.0,1017,24,10,6
2014-11-22,8.7,-3,2,27,0.0,1016,23,10,5
2014-11-23,8.7,-7,0,21,0.0,1017,22,10,7
2014-11-24,7.1,-5,22,25,0.0,1017,22,10,5
2014-11-25,8.7,-2,3,30,0.0,1017,23,10,5
2014-11-26,8.7,-4,8,28,0.0,1013,23,10,5
2014-11-27,8.7,-1,14,31,0.0,1014,23,10,5
2014-11-28,8.7,0,2,30,0.0,1016,24,10,7
2014-11-29,8.7,-1,6,28,0.0,1017,24,10,8
2014-11-30,8.7,-3,10,25,0.0,1018,24,10,7
2014-12-01,8.7,-6,6,21,0.0,1018,24,10,8
2014-12-02,8.7,-6,17,22,0.0,1017,24,10,6
2014-12-03,8.7,-7,0,19,0.0,1017,24,10,7
2014-12-04,8.7,-7,0,21,0.0,1018,24,10,7
2014-12-05,8.7,-8,1,19,0.0,1020,23,10,7
2014-12-06,8.7,-8,0,18,0.0,1019,24,10,8
2014-12-07,8.7,-9,21,21,0.0,1018,22,10,6
2014-12-08,8.7,-7,0,20,0.0,1018,22,10,5
2014-12-09,8.7,-8,0,20,0.0,1021,21,10,7
2014-12-10,8.7,-8,0,22,0.0,1021,19,10,6
2014-12-11,5.4,-15,41,14,0.0,1020,20,10,7
2014-12-12,8.7,-15,22,15,0.0,1019,20,10,4
2014-12-13,7.1,-9,37,22,0.0,1019,19,10,7
2014-12-14,3.8,4,71,63,4.8,1020,13,9,7
2014-12-15,8.7,2,15,55,0.2,1021,16,10,5
2014-12-16,8.7,5,2,60,0.0,1023,16,10,4
2014-12-17,8.7,-1,0,40,0.0,1022,16,10,5
2014-12-18,8.7,-3,4,35,0.0,1021,18,10,4
2014-12-19,8.7,-3,0,35,0.0,1023,18,10,5
2014-12-20,8.7,-5,20,31,0.0,1019,18,10,6
2014-12-21,8.7,-5,24,31,0.0,1018,16,10,3
2014-12-22,8.7,-4,36,33,0.0,1018,18,10,3
2014-12-23,8.7,0,33,45,0.0,1019,18,10,4
2014-12-24,8.7,-2,18,42,0.0,1021,18,10,5
2014-12-25,8.7,-2,1,40,0.0,1020,17,10,5
2014-12-26,8.7,-6,0,29,0.0,1020,16,10,6
2014-12-27,8.7,-5,0,35,0.0,1021,17,10,5
2014-12-28,8.7,-5,19,36,0.0,1020,18,10,5
2014-12-29,8.7,-6,26,35,0.0,1018,17,10,3
