date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2015-01-01,8.7,-6,0,22,0.0,1018,23,10,8
2015-01-02,8.7,-6,7,25,0.0,1017,22,10,6
2015-01-03,8.7,2,4,41,0.0,1017,21,10,6
2015-01-04,8.7,2,5,46,0.0,1019,20,10,5
2015-01-05,8.7,-1,18,35,0.0,1017,21,10,9
2015-01-06,8.7,-3,2,29,0.0,1014,22,10,9
2015-01-07,8.7,3,0,45,0.0,1014,21,10,5
2015-01-08,8.7,1,11,45,0.0,1016,21,10,3
2015-01-09,8.7,3,3,49,0.0,1019,21,10,4
2015-01-10,8.7,-12,6,16,0.0,1018,22,10,10
2015-01-11,8.7,-8,3,19,0.0,1017,24,10,10
2015-01-12,8.7,4,1,48,0.0,1017,23,10,5
2015-01-13,8.7,3,41,49,0.1,1016,20,10,5
2015-01-14,8.7,7,34,64,0.0,1018,19,10,9
2015-01-15,8.7,6,5,57,0.0,1020,21,10,6
2015-01-16,8.7,-4,2,26,0.0,1019,22,10,8
2015-01-17,8.7,-6,20,24,0.0,1018,23,10,8
2015-01-18,8.7,-5,3,26,0.0,1017,23,10,7
2015-01-19,8.7,-2,7,33,0.0,1017,23,10,5
2015-01-20,8.7,-4,18,27,0.0,1017,22,10,7
2015-01-21,3.8,6,70,67,0.8,1020,18,9,12
2015-01-22,8.7,10,48,81,0.8,1020,18,9,8
2015-01-23,8.7,8,12,74,0.1,1020,19,9,7
2015-01-24,8.7,3,9,50,0.0,1019,20,10,7
2015-01-25,8.7,3,5,51,0.0,1019,20,10,6
2015-01-26,8.7,2,8,51,0.0,1020,19,10,5
2015-01-27,8.7,-2,7,39,0.0,1020,18,10,8
2015-01-28,8.7,-3,21,36,0.0,1017,19,10,9
2015-01-29,8.7,-2,8,36,0.0,1019,19,10,6
2015-01-30,8.7,-3,10,33,0.0,1020,21,10,9
2015-01-31,8.7,0,9,39,0.0,1017,22,10,6
2015-02-01,8.7,2,20,41,0.0,1016,23,10,7
2015-02-02,7.1,8,67,60,0.5,1018,21,9,12
2015-02-03,4.1,11,71,88,22.9,1021,15,8,10
2015-02-04,8.7,6,4,56,0.0,1023,22,9,10
2015-02-05,8.7,4,25,52,0.0,1018,21,10,5
2015-02-06,5.6,3,64,48,0.0,1018,22,10,4
2015-02-07,5.6,6,55,60,1.1,1017,21,10,6
2015-02-08,8.7,9,14,67,0.9,1018,21,10,8
2015-02-09,8.7,6,0,48,0.0,1019,22,10,6
2015-02-10,8.7,2,19,40,0.0,1019,24,10,5
2015-02-11,8.7,-2,10,29,0.0,1016,24,10,6
2015-02-12,8.7,-3,6,26,0.0,1015,25,10,7
2015-02-13,8.7,0,6,30,0.0,1011,26,10,5
2015-02-14,8.7,6,4,41,0.2,1010,28,10,7
2015-02-15,8.7,5,35,37,0.0,1010,28,10,8
2015-02-16,8.7,8,31,46,1.4,1013,25,10,13
2015-02-17,8.7,9,18,54,0.0,1013,26,10,8
2015-02-18,8.7,9,12,57,1.5,1012,25,10,11
2015-02-19,7.2,10,34,64,3.0,1013,22,10,14
2015-02-20,8.7,10,21,62,0.1,1016,25,10,11
2015-02-21,8.7,9,18,53,0.0,1016,27,10,10
2015-02-22,8.7,8,8,45,0.0,1013,30,10,10
2015-02-23,7.2,9,36,44,0.0,1012,30,10,6
2015-02-24,8.7,12,42,58,0.7,1009,27,10,18
2015-02-25,11.6,6,5,55,3.6,1007,24,10,21
2015-02-26,11.6,5,1,52,0.0,1011,22,9,9
2015-02-27,11.6,4,5,47,0.0,1014,21,10,6
2015-02-28,8.7,3,33,41,0.0,1015,22,10,7
2015-03-01,5.8,10,83,74,5.2,1010,16,10,18
2015-03-02,8.7,13,69,84,8.6,1012,18,10,12
2015-03-03,11.6,11,20,80,2.5,1014,19,10,6
2015-03-04,11.6,9,15,63,0.0,1013,22,10,7
2015-03-05,11.6,9,45,77,2.5,1017,19,10,13
2015-03-06,11.6,10,10,70,0.0,1018,22,10,9
2015-03-07,10.2,10,37,77,1.9,1015,16,10,8
2015-03-08,11.6,10,15,82,3.1,1016,21,9,9
2015-03-09,11.6,9,17,71,0.5,1022,19,9,7
2015-03-10,5.9,3,64,47,0.2,1018,18,10,10
2015-03-11,8.8,8,50,50,1.2,1013,27,10,9
2015-03-12,8.8,9,49,53,0.4,1013,27,10,8
2015-03-13,10.2,8,39,50,0.1,1013,28,10,8
2015-03-14,8.8,9,46,51,0.4,1012,28,10,7
2015-03-15,11.6,9,35,50,0.1,1012,29,10,7
2015-03-16,11.6,9,21,46,0.0,1011,30,10,7
