date_time,sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
2015-01-01,8.7,-12,0,18,0.0,1020,22,10,8
2015-01-02,8.7,-5,14,34,0.1,1020,19,10,8
2015-01-03,8.7,6,43,69,3.7,1018,15,10,5
2015-01-04,8.7,1,4,55,0.0,1021,18,10,7
2015-01-05,8.7,-7,20,28,0.0,1017,19,10,10
2015-01-06,8.7,-2,1,39,0.0,1016,19,10,7
2015-01-07,8.7,0,0,52,0.0,1017,18,10,5
2015-01-08,8.7,-2,2,46,0.0,1020,18,10,6
2015-01-09,8.7,0,2,51,0.0,1019,19,10,6
2015-01-10,8.7,-2,4,44,0.0,1018,19,10,8
2015-01-11,8.7,-5,3,33,0.0,1018,21,10,9
2015-01-12,8.7,-1,2,45,0.0,1019,20,10,5
2015-01-13,7.1,1,47,48,0.0,1017,19,10,4
2015-01-14,5.5,5,61,76,3.8,1018,11,10,4
2015-01-15,8.7,0,6,50,0.0,1020,19,10,7
2015-01-16,8.7,-4,2,34,0.0,1020,19,10,5
2015-01-17,8.7,-3,20,39,0.0,1020,19,10,6
2015-01-18,8.7,-3,0,40,0.0,1018,19,10,6
2015-01-19,8.7,-3,8,38,0.0,1019,19,10,4
2015-01-20,8.7,-2,4,41,0.0,1020,18,10,6
2015-01-21,5.5,0,55,51,2.1,1023,17,10,8
2015-01-22,7.1,7,47,77,4.3,1021,16,10,6
2015-01-23,8.7,4,21,66,0.0,1022,17,10,4
2015-01-24,8.7,0,19,47,0.0,1022,17,10,4
2015-01-25,8.7,0,4,48,0.0,1022,17,10,5
2015-01-26,8.7,1,10,53,0.0,1022,16,10,5
2015-01-27,8.7,4,44,71,0.0,1021,13,10,3
2015-01-28,8.7,0,9,55,0.0,1020,16,10,6
2015-01-29,8.7,-4,19,40,0.0,1022,15,10,7
2015-01-30,8.7,-5,4,36,0.0,1021,17,10,9
2015-01-31,8.7,-4,13,36,0.0,1018,19,10,8
2015-02-01,7.1,0,27,44,0.2,1019,19,10,5
2015-02-02,10.1,5,42,58,0.5,1020,19,10,7
2015-02-03,10.9,7,40,71,5.7,1022,18,9,9
2015-02-04,10.9,2,1,52,0.0,1024,20,10,6
2015-02-05,10.1,-1,31,45,0.0,1020,19,10,5
2015-02-06,10.1,3,34,59,0.0,1020,18,10,4
2015-02-07,10.9,2,7,53,0.0,1019,19,10,5
2015-02-08,8.5,-2,42,36,0.0,1020,20,10,7
2015-02-09,11.0,-2,1,36,0.0,1022,21,10,6
2015-02-10,11.0,-2,22,36,0.0,1021,21,10,6
2015-02-11,7.0,-1,79,43,0.0,1018,20,10,4
2015-02-12,11.0,0,6,42,0.0,1017,21,10,6
2015-02-13,11.0,-1,6,37,0.0,1013,22,10,7
2015-02-14,11.0,0,4,34,0.0,1012,25,10,8
2015-02-15,11.1,1,24,36,0.0,1014,24,10,6
2015-02-16,11.1,5,35,48,0.0,1017,24,10,7
2015-02-17,11.1,3,12,42,0.0,1016,24,10,5
2015-02-18,11.1,5,20,52,2.7,1015,23,9,8
2015-02-19,10.1,6,53,58,4.9,1016,21,10,10
2015-02-20,11.1,7,24,58,1.0,1018,22,10,9
2015-02-21,11.2,4,11,43,0.0,1017,24,10,10
2015-02-22,11.6,2,14,35,0.0,1015,27,10,8
2015-02-23,8.7,3,39,36,0.0,1017,27,10,5
2015-02-24,11.6,2,52,33,0.1,1015,26,10,6
2015-02-25,11.6,10,45,71,6.6,1012,20,9,15
2015-02-26,11.6,7,13,63,0.9,1011,19,10,6
2015-02-27,11.6,7,11,66,0.3,1015,18,10,4
2015-02-28,10.2,3,36,46,0.0,1017,22,10,6
2015-03-01,7.3,8,79,73,12.1,1012,14,8,9
2015-03-02,8.7,9,70,89,25.8,1014,12,7,10
2015-03-03,11.6,7,18,77,2.5,1016,15,10,5
2015-03-04,11.6,1,1,48,0.0,1016,19,10,7
2015-03-05,5.9,-2,64,41,1.3,1018,20,10,8
2015-03-06,11.6,4,8,51,0.5,1019,20,10,8
2015-03-07,10.2,2,32,47,0.0,1017,21,10,8
2015-03-08,11.6,8,22,74,13.0,1017,19,8,11
2015-03-09,11.6,8,19,76,5.4,1023,16,9,7
2015-03-10,11.6,2,31,55,0.0,1021,14,10,8
2015-03-11,8.8,1,40,39,1.5,1016,24,10,10
2015-03-12,8.8,1,45,38,0.9,1016,25,10,10
2015-03-13,8.8,2,46,38,0.8,1016,25,10,9
2015-03-14,8.8,4,35,41,0.3,1016,26,10,9
2015-03-15,10.2,2,26,35,0.1,1016,27,10,10
2015-03-16,11.6,2,13,32,0.0,1015,28,10,9
2015-03-17,8.8,1,34,31,0.3,1014,27,10,11
2015-03-18,8.8,2,44,32,0.4,1014,28,10,10
2015-03-19,8.8,5,57,45,0.0,1016,20,10,9
2015-03-20,11.6,3,11,36,0.0,1017,26,10,7
2015-03-21,11.6,4,1,36,0.0,1018,27,10,8
2015-03-22,11.6,7,9,43,0.0,1015,28,10,9
2015-03-23,11.6,9,3,46,0.0,1014,29,10,7
2015-03-24,11.6,9,2,41,0.0,1014,30,10,6
2015-03-25,11.6,6,8,33,0.0,1017,31,10,8
2015-03-26,8.8,1,33,24,0.0,1018,31,10,7
2015-03-27,11.6,0,1,21,0.0,1017,31,10,8
2015-03-28,11.6,0,3,21,0.0,1014,32,10,7
2015-03-29,7.5,5,52,41,1.6,1012,29,10,12
2015-03-30,11.6,12,15,67,7.5,1013,24,10,8
