Temp,Ph,N,P,K
31.15814692,7.882625813,50.18372143,14.75441847,22.91205481
22.2755211,6.40560625,65.20737327,13.50621143,27.77658315
28.06289865,8.863872188,66.71803949,13.20493271,24.65508896
31.83260598,8.793969543,59.97283853,15.08084445,25.91013215
21.96630757,7.680471206,64.26190985,14.03515824,24.55584277
31.22714927,9.468962676,56.99911496,14.93240242,24.13688467
35.995056,5.074159978,58.68312632,14.44203101,27.58651387
34.93304239,6.150852992,53.81481368,12.86178259,23.41853999
31.22299875,6.079577013,58.24793237,14.09729392,24.10245979
24.05142369,8.556932279,54.32203131,12.88082614,22.3389172
21.93517869,6.365367595,51.40812403,11.13638813,27.27760552
20.27704703,8.378124332,53.9393292,12.32245949,26.97986694
22.46592608,7.295800653,65.82445753,11.5917243,24.93451643
28.16354869,6.115009003,59.18851283,11.24503403,23.04352855
22.0524308,7.37243263,59.68657491,12.07123112,22.32408521
25.6301767,5.407879879,63.47758415,11.72441877,24.07426069
30.10080264,5.269173254,65.06820887,11.89898465,27.80331736
32.76232185,5.357203894,64.95345927,11.38541917,23.41322977
21.01116977,5.099566637,50.69215979,14.65907865,25.98685568
27.70958586,6.536759545,69.19797357,12.34797296,23.67343059
34.33121738,9.43243202,60.80111087,12.62556932,24.53679922
34.65340129,7.775231178,51.77251503,14.14026399,24.73986938
20.63191626,6.957548753,50.09521775,13.41074953,23.0609241
35.83993042,5.62857448,65.65904721,13.58385052,24.37877438
22.3320719,5.657689138,64.62691122,12.827846,25.36922208
35.36469619,7.104907376,68.98312326,12.65572161,23.20796228
33.67387921,8.924024171,67.43888668,11.94415204,25.33607898
36.22281564,8.942152165,61.59154027,13.40867428,22.79248329
21.56370739,8.341593677,68.29767754,14.08569689,25.57705313
36.82930998,6.892040773,57.51304666,13.6619779,26.73193457
30.9028901,6.410550249,61.38889737,13.65648457,24.83343913
25.35624256,5.345118564,66.62587359,12.86764214,22.55791803
35.63188574,6.322107608,56.01580859,13.55455275,24.11399579
23.42573321,5.547135838,55.46403394,14.81972808,23.80563677
31.1010773,8.161000397,55.50553911,12.18524827,25.00757775
22.64076662,8.432370983,66.5007477,13.19016175,25.5019776
25.6016419,8.088900418,51.31717887,11.11832118,23.92722251
28.65330973,7.529816584,59.97589038,11.76079684,25.3016541
22.16864528,7.759437849,65.13595996,12.78426557,27.1001709
28.69170202,5.311746574,64.87350078,12.16364116,25.32344432
20.1841792,6.985839412,64.13983581,14.76821284,24.64593341
36.21970275,9.054078799,68.51008637,14.45143071,27.15510422
21.9782403,9.077700125,66.06860561,13.7381521,25.83505661
23.39927366,9.076601459,59.85320597,12.38996643,27.26039308
21.67473373,8.859477523,53.71715445,14.33387341,27.32832728
34.82824183,7.954451125,52.66914884,14.49769677,26.87457808
35.14004944,6.238608966,65.57359539,14.94058138,23.6388226
21.26642659,9.225608081,53.3906064,12.04901364,24.17607044
29.07614368,5.857234413,52.91940062,11.69097049,25.95389569
27.44654683,8.604724265,67.68547624,15.02408002,25.81271706
27.32670064,5.425183874,66.44703513,14.76210913,27.57827387
23.0469985,8.051408429,61.64159062,14.79641194,24.49981079
32.29746391,7.328073977,69.65941343,13.57103275,23.35097201
25.33030183,8.527130955,50.68849757,12.74581225,24.13670156
30.3259682,7.111499374,64.68733787,14.33240852,26.19688406
34.22797327,9.259117405,64.42915128,13.41734153,26.46166265
26.84057131,7.028962065,50.99551378,11.09512711,22.24333323
31.58772546,5.086519974,50.89846492,11.86236244,24.4355388
23.46153142,9.044190802,51.43375958,14.36011933,24.44560991
23.37540819,7.331095309,61.94006165,11.86553636,22.0556444
21.87966552,6.590182196,65.56260872,12.16351909,23.10706809
