Temp,Ph,N,P,K
21.42973113,7.351100192,187.0855129,26.93969543,227.8185675
25.93517869,6.84234138,167.9870296,24.22629475,208.1326029
22.54158147,6.374919889,190.2258675,24.1207007,206.002411
25.07455672,6.455137791,143.0122074,25.43818476,217.3125706
23.25864437,5.838068789,158.1554918,24.69109165,229.5443892
23.83617664,6.09602649,171.1868954,23.69649342,196.6179693
20.28199103,6.019226661,144.7715995,22.24106571,232.2971587
22.70711386,7.656483657,146.8026063,27.36115604,194.9058809
24.2494583,7.279747917,164.9000824,22.43089084,232.1094699
25.85003204,5.289788507,185.3780023,22.86242256,218.5256813
21.32425916,8.41604358,182.6145512,28.85808893,220.8435621
22.20044557,7.429502243,190.952208,21.35847041,237.2655721
24.29615162,8.377910703,162.656972,20.32175665,218.6294443
22.97042756,6.820871609,191.8372448,25.26239814,205.3813593
23.66222114,6.115253151,143.061037,26.27195044,209.4067507
23.64647359,6.148579363,183.1333659,26.78130436,209.052736
25.90258492,5.6871395,176.5673086,26.54661702,236.2523576
20.34424879,5.242255928,145.6291696,22.64329966,217.3339335
24.87862789,5.055330058,144.4236885,25.35792108,237.7813349
22.22974334,8.456205939,192.8641926,27.65138707,205.1646779
22.71773431,7.156910916,149.7720573,24.10330515,232.4375439
24.41901914,7.326639607,187.2823572,25.81966613,240.5463118
22.45039216,6.809015168,180.3012482,19.24658956,236.8596759
20.06079287,5.213202307,168.859859,22.86211737,239.7818232
21.78331858,6.217368084,172.5724357,26.45353557,219.0719626
24.94619587,6.992309336,161.5399945,28.98290963,201.087405
23.48808252,7.241935484,144.4908292,26.637257,218.1945555
21.70989105,7.710211493,170.5643178,27.49360637,233.9329508
24.68617817,5.585451827,169.1009552,19.82613605,240.993408
22.27900021,7.07637257,163.6076235,24.03494369,215.6615192
20.59602649,5.131488998,173.5810724,25.04937895,203.1031526
23.375103,6.497650075,146.6469619,24.30289621,234.4380322
21.79778436,8.208395642,143.0808741,24.99841304,200.4404126
21.39878536,6.688528092,158.1173437,26.5041963,224.4310129
25.54020814,5.543153172,171.2601398,19.33143101,205.3844111
20.62807093,5.447019868,168.2845851,19.45319987,221.9895322
20.79378643,6.520294809,159.235847,26.35618152,214.0623493
25.11008026,7.63042085,191.1688894,19.60121464,226.3185827
21.41380047,8.009292886,153.4525895,25.7342143,206.7241737
20.66853847,6.900021363,150.0390942,21.54280221,241.2100894
25.63689077,6.431745354,161.8848537,21.05908383,203.9714042
25.8410596,7.614825892,190.7523118,27.98739586,212.0313425
20.98568682,6.308587909,178.2977081,26.86126286,238.823542
24.02954192,7.516129032,166.1513413,27.99838252,210.4947356
23.21103549,5.2239906,157.3375958,26.10959197,199.469924
22.4873806,5.769280068,175.862331,27.8082522,215.1793268
25.91961425,7.394894253,150.0604572,27.81466109,211.3339946
21.66832484,6.677419355,145.0508438,27.89339885,194.4648885
25.79912717,5.271202734,161.5934019,26.14743492,200.965331
25.73632008,5.657551805,169.618244,24.56230354,226.7473678
20.55134739,5.267677847,161.0425428,28.84252449,199.6621906
20.38343455,6.56163213,149.9093905,25.25446333,196.80871
22.58388012,7.261375774,189.9527268,19.7800531,232.6664327
24.30787072,6.304849391,186.6872463,25.36280404,193.2746666
22.91512803,8.336039308,160.5222022,24.80248421,231.6913663
22.4906766,5.740119633,178.032197,21.92031617,206.3655812
20.36567278,5.3374279,190.0809046,27.25922422,235.6023133
25.55302591,8.459730827,190.3540452,27.15607166,194.0391552
20.69911802,7.068468276,164.8222602,26.75444807,237.492935
20.70094913,7.412091433,186.9100314,24.01205481,204.2308115
20.68355358,8.333155309,145.0828883,27.31659902,227.5484787
22.8435316,5.577654347,189.519364,27.46003601,217.5429853
24.82607501,8.480452895,147.5564135,25.9963683,201.0935087
24.13318278,5.634479812,179.7564928,21.07892087,214.7139195
23.52305673,8.020828883,148.1789911,25.9759209,231.3938108
21.19351787,7.762123478,170.9595325,19.18524735,232.640492
20.33875546,6.75101474,174.101413,25.85110019,228.3526414
20.40211188,5.65541551,158.3172399,21.98501541,207.9647511
24.80483413,6.047959838,175.5083163,25.14703818,198.5360576
21.54728843,5.143024995,187.1526536,26.10165716,224.6064943
23.28611103,6.020081179,169.3786737,21.52204962,220.0104068
21.71776482,6.712668233,175.781457,26.5942259,237.0549944
25.83574938,6.481307413,158.6346324,23.81795709,228.8684042
23.17459639,6.433561205,144.9730216,20.50608844,241.4572893
23.28775903,6.66032899,182.9975585,23.32660909,213.9845271
21.93346965,6.903653066,147.6052431,27.31843013,217.3568224
21.91332743,5.130954924,183.3515732,19.65797906,213.8868679
