Temp,Ph,N,P,K
15.81902524,6.960264901,122.0178182,29.26826685,25.99228492
18.04950102,6.379131443,123.9304132,26.49193701,26.79815668
14.99539171,6.263008515,125.0431181,29.16078066,25.0430372
14.98864711,6.269356365,119.214388,24.43102206,27.47401959
17.7797174,6.537522507,124.986964,24.89667348,22.22495804
16.80571917,6.587755974,125.3647832,25.35005646,24.22068545
21.89867855,6.224066897,128.4849956,25.39656667,25.34626911
24.50328074,6.400921659,119.3456175,27.1641377,22.05008698
13.35724967,6.77272866,122.1499634,24.76336863,24.44041871
16.33756523,6.971190527,124.4284753,24.39330119,22.53478195
18.62874233,6.871181372,119.9669744,29.81833247,25.14393139
16.97869808,6.874111148,127.8843913,28.80408032,27.57418134
13.00613422,6.689870907,120.5678838,24.45226295,25.70754723
24.94802698,6.469557787,128.108092,25.52767418,23.44630879
23.77962584,6.847285379,119.0227317,25.72927946,25.57918638
20.63307596,6.869899594,119.7496826,25.37331156,24.83392438
24.57866146,6.916379284,119.9208914,27.09858394,26.00913114
21.0671102,6.189458907,119.0468413,24.74194464,22.96765648
24.59730827,6.366313669,127.6677099,23.98386486,23.73434248
13.60798975,6.645496994,124.0598117,26.85175024,22.22202826
14.50184637,6.483870968,122.3733589,28.13664052,22.24803003
19.34247871,6.126255074,127.2035234,28.61016572,27.14570147
20.84453871,6.671315653,121.6766213,29.22560198,26.19920042
15.00570696,6.284890286,121.5380673,27.20954924,24.78118839
19.80706198,6.201452681,126.5977309,24.9516068,23.86197089
22.18710898,6.169499802,119.0251732,26.08872646,26.97174596
22.27597888,6.642841884,119.3093005,26.24784997,23.08777734
16.08365123,6.998290963,119.5995315,28.07694632,25.90237739
24.65205847,6.382427442,118.7721747,27.62099979,24.47850581
14.82280953,6.04791406,125.7081164,29.04395581,27.16419568
19.63051241,6.589312418,122.784138,24.16258126,22.44286019
16.90530107,6.876613666,119.1722724,26.98835108,21.86184881
14.50859096,6.20557268,128.3647526,25.93088473,25.05109409
12.35230567,6.370097964,127.0985397,27.94602191,22.50932951
20.54857021,6.749931333,122.820455,25.06513565,25.96445204
24.2128666,6.507431257,122.320867,28.13755608,22.38810999
16.66289254,6.492751854,121.5093799,26.86182134,26.91479843
17.88247322,6.41706595,122.8024491,24.17063814,22.44707175
14.31775872,6.541917173,121.560651,26.88232978,21.99899899
15.81228065,6.358256783,124.7327448,28.58288217,27.44014405
20.18356883,6.183568834,119.8012589,27.72189398,24.19486679
17.24015015,6.843043306,127.0668004,27.34230476,23.59206519
